"","Fund_Name","Fund_Manager","Fund_Contact","Fund_Contact_Telephone","Fund_Type","Fund_Projected_Equity","Fund_Equity_Raised","Fund_Equity_Invested","Fund_Target_IRR","Fund_Minimum_IRR","Fund_Asset_Classes","Fund_Target_Locations","Fund_Data_Date"
"286","O'connor Retail Partners","O'Connor Capital","Bill O'connor","212-308-7700","Value Add","$500,000,000 ","$150,000,000 ","$35,000,000 ","","","Retail","United States, Mexico","1/11/12"
"287","Orion European Real Estate Fund 3","Orion Capital Managers","Van Stults","33-15-396-5070","Opportunity","$1,703,808,000 ","$1,703,808,000 ","$1,107,028,326 ","","","Office","Europe","1/11/12"
"288","Pacifica Senior Housing Fund 1","Pacifica Equity","Chris Rosenstock","619-296-9000","Opportunity","$200,000,000 ","$100,000,000 ","$50,000,000 ","17","17","Senior Housing","Southwestern United States","1/11/12"
"289","Paladin Realty Latin America Investors 4","Paladin Realty","Frederick Gortner","310-996-8762","Opportunity","$400,000,000 ","$0 ","$0 ","20+","20+","Multifamily, Distressed","Latin America, Mexico","1/11/12"
"290","Pamfleet Real Estate Fund","Pamfleet International","Allan Lee","852-2-545-5829","Opportunity","$230,000,000 ","$230,000,000 ","$23,000,000 ","17-20","17","Office, Retail","Hong Kong, Singapore","1/11/12"
"291","Apca Property Fund 2","Paradigm Capital","Steve Allison","617-933-8260","Value Add","$100,000,000 ","$0 ","$0 ","","","Industrial","Northeastern United States","1/11/12"
"292","Paramount Group Real Estate Fund 6","Paramount Group","Dan Lauer","212-237-3109","High Yield Debt","$250,000,000 ","$200,000,000 ","$50,000,000 ","12-15","12","Office","United States","1/11/12"
"293","Paramount Group Real Estate Fund 7","Paramount Group","Dan Lauer","212-237-3109","Core","$1,000,000,000 ","$0 ","$0 ","11-12","11","Office","Eastern United States","1/11/12"
"294","Blanco Opportunities Fund","Parapet Capital","John Walsh","972-663-3737","Value Add","$50,000,000 ","$0 ","$0 ","14-16","14","Multifamily","United States","1/11/12"
"295","Parmenter Realty Fund 4","Parmenter Realty","Andrew Weiss","305-379-7496","Opportunity","$500,000,000 ","$150,000,000 ","$60,000,000 ","","","Office","Southwestern United States","1/11/12"
"296","Pathfinder Partners Opportunity Fund 3","Pathfinder Partners","Lorne Polger, Mitch Siegler","800-494-8211","Opportunity","$50,000,000 ","$25,000,000 ","$20,000,000 ","17","17","Multifamily, Office, Retail, Industrial, Lodging, Multifamily","Western United States, Seattle, San Francisco, Los Angeles, San Diego, Southwestern United States","1/11/12"
"297","Patria Brazil Real Estate Fund 2","Patria Investimentos","Olimpio Matarazzo-neto","55-113-039-9000","Opportunity","$569,000,000 ","$569,000,000 ","$0 ","","","Office","Brazil","1/11/12"
"298","Patron Capital Fund 4","Patron Capital","Keith Greslauer","44-207-629-9417","Opportunity","$998,325,000 ","$0 ","$0 ","20","20","Office","Europe","1/11/12"
"299","Pccp Equity 6","PCCP","William Lindsay","310-414-7868","Opportunity","$500,000,000 ","$125,000,000 ","$0 ","15-18","15","Distressed","United States","1/11/12"
"300","Pearlmark Mezzanine Realty Partners Fund 3","Pearlmark Real Estate","Thomas Mccahill","303-328-2717","High Yield Debt","$427,000,000 ","$427,000,000 ","$208,000,000 ","13-15","13","Mortgages","United States","1/11/12"
"301","Pearlmark Multifamily Partners 2","Pearlmark Real Estate","Edward Ryder","312-499-1917","Value Add","$400,000,000 ","$0 ","$0 ","14","14","Multifamily","United States","1/11/12"
"302","Penn Square Global Real Estate Fund 2","Penn Square Real Estate","Jon Albro","610-745-4861","Fund of Funds","$145,000,000 ","$145,000,000 ","$71,000,000 ","12+","12+","Office","United States","1/11/12"
"303","Townsquare Real Estate Alpha Fund","Penn Square Real Estate","Jon Albro","610-745-4861","Fund of Funds","$300,000,000 ","$50,000,000 ","$0 ","15+","15+","Other, Secondary Stakes","United States, Asia","1/11/12"
"304","Sares-regis Western States Multifamily Fund","Penn Square Real Estate","Jon Albro","610-745-4861","Value Add","$150,000,000 ","$90,000,000 ","$0 ","14","14","Distressed","United States","1/11/12"
"305","Penwood Select Industrial Partners 3","Penwood Real Estate Investment","Rick Chase","860-218-6535","Value Add","$125,000,000 ","$0 ","$0 ","15","15","Industrial","Southern California","1/11/12"
"306","Perella Weinberg Real Estate Fund 1","Perella Weinberg Partners","Tarek Abdel-meguid","212-287-3301","Opportunity","$1,557,387,000 ","$1,557,387,000 ","$1,121,156,886 ","","","Office","Europe","1/11/12"
"307","Perella Weinberg Real Estate Fund 2","Perella Weinberg Partners","Tarek Abdel-meguid","212-287-3301","Opportunity","$1,597,320,000 ","$0 ","$0 ","","","Office","Europe","1/11/12"
"308","Phillips Edison Strategic Investment Fund 2","Phillips Edison & Co.","David Birdsall","503-702-4391","Opportunity","$57,000,000 ","$57,000,000 ","$11,400,000 ","15-18","15","Retail","United States","1/11/12"
"309","Champion 2012 Partners","Phoenix Capital","Andrew Scott","972-866-7577","Opportunity","$100,000,000 ","$40,000,000 ","$0 ","17","17","Multifamily","United States","1/11/12"
"310","Pimco Bank Recapitalization And Value Opportunities Fund","Pimco","Daniel Ivascyn","949-720-6218","High Yield Debt","$2,400,000,000 ","$2,400,000,000 ","$1,000,000,000 ","15+","15+","RMBS","United States","1/11/12"
"311","Portfolio Advisors Real Estate Fund 4","Portfolio Advisors","Kenneth Wisdom","203-662-3467","Fund of Funds","$400,000,000 ","$400,000,000 ","$220,000,000 ","","","Office","United States","1/11/12"
"312","Portfolio Advisors Real Estate Fund 5","Portfolio Advisors","Kenneth Wisdom","203-662-3467","Fund of Funds","$400,000,000 ","$0 ","$0 ","","","Office","United States","1/11/12"
"313","Unnamed Vehicle","Potomac Capital","Jim Powers","301-961-9096","Core","$50,000,000 ","$0 ","$0 ","","","Office","Washington D.C.","1/11/12"
"314","Praedium Fund 7","Praedium Group","Chris Hughes","212-224-5600","Value Add","$900,000,000 ","$900,000,000 ","$642,000,000 ","","","Office","United States","1/11/12"
"315","Pramerica Real Estate Euromezz Fund","Pramerica Real Estate Investors","Andrew Macland","44-207-766-2445","High Yield Debt","$797,850,000 ","$239,143,369 ","","12-15","12","Mortgages","Europe","1/11/12"
"316","Prescott Net Lease Properties","Prescott Group","Susan Stupin","212-956-2100","Opportunity","$250,000,000 ","$50,000,000 ","$20,000,000 ","15-18","15","Office","United States","1/11/12"
"317","Prime Finance Partners 3","Prime Finance","Jon Brayshaw","212-231-9071","High Yield Debt","$600,000,000 ","$0 ","$0 ","10","10","Mortgages","United States","1/11/12"
"318","Principal Green Property Fund","Principal Real Estate Investors","Vance Voss","515-248-8400","Value Add","$314,000,000 ","$314,000,000 ","$145,000,000 ","","","Office","United States","1/11/12"
"319","100 Mile Fund","Procida Funding","Billy Procida","201-871-1177","High Yield Debt","$50,000,000 ","$5,000,000 ","$4,500,000 ","14","14","Office","New York City","1/11/12"
"320","Prosperitas Real Estate Partners 3","Prosperitas Investimentos","Maximo Lima","55-113-127-5550","Opportunity","$750,000,000 ","$750,000,000 ","","20+","20+","Office","Brazil","1/11/12"
"321","Perseus Realty Partners 3","PRP","Paul Dougherty","202-741-8402","Opportunity","$300,000,000 ","$0 ","$0 ","16+","16+","Office","United States","1/11/12"
"322","Pla Industrial Fund 4","Prudential Real Estate Investors","Roberto Ordorica","305-379-7806","Opportunity","$350,000,000 ","$0 ","$0 ","15-18","15","Industrial","Brazil","1/11/12"
"323","Prudential U.S. Real Estate Debt Fund","Prudential Real Estate Investors","Jack Taylor","212-515-8101","High Yield Debt","$800,000,000 ","$224,400,000 ","","12-15","12","Mortgages","United States","1/11/12"
"324","Senior Housing Partners 4","Prudential Real Estate Investors","Gary Kaufmann","973-734-1300","Core","$600,000,000 ","$0 ","$0 ","","","Senior Housing","United States","1/11/12"
"325","Cascadia Real Estate Investments 2","Quantum Equities","Carl Cook","206-403-3144","Opportunity","$100,000,000 ","$0 ","$0 ","","","Distressed, Mortgages","Seattle, Portland","1/11/12"
"326","Racebrook Capital Partners","Racebrook Capital","Victor Fracaro","415-676-7985","High Yield Debt","$250,000,000 ","$0 ","$0 ","","","Office","United States","1/11/12"
"327","Rainier Preferred Income Fund 6","Rainier Capital","Tim Nichols","214-234-8210","High Yield Debt","$50,000,000 ","$0 ","$0 ","11-13","11","Mortgages, Mezzanine Loans","United States, Florida, Georgia, North Carolina","1/11/12"
"328","Ram Realty Partners 3","Ram Development","Casey Cummings","561-630-6110","Opportunity","$200,000,000 ","$40,350,000 ","$0 ","16","16","Retail, Multifamily, Mixed Use","Southeastern United States, Georgia, Atlanta","1/11/12"
"329","Rcg Longview Debt Fund 4","Ramius Capital, Feil Organization, Estreich & Co.","Chris Labianca","212-356-9200","High Yield Debt","$602,000,000 ","$602,000,000 ","$400,000,000 ","","","Mortgages, Preferred Equity","United States","1/11/12"
"330","Rcg Distressed Real Estate Opportunity Fund","RCG Ventures","Michael Mcmillen","404-816-5454","Opportunity","$51,100,000 ","$51,100,000 ","$26,000,000 ","20+","20+","Retail","United States","1/11/12"
"331","Indospace Logistics Parks Limited","Realterm Global, Everstone Capital","Mitchell Gordon","410-280-1100","Opportunity","$250,000,000 ","$250,000,000 ","$75,000,000 ","","","Industrial","India","1/11/12"
"332","Red Fort India Real Estate Fund 2","Red Fort Capital","Parry Singh","91-981-887-1133","Opportunity","$500,000,000 ","$500,000,000 ","$0 ","20+","20+","Multifamily","India","1/11/12"
"333","Redwood Japan Logistics Fund","Redwood Group","Stuart Gibson, Charles De Portes","65-6-232-2110","Value Add","$400,000,000 ","$0 ","$0 ","15-16","15","Industrial","Japan","1/11/12"
"334","Redwood-kairos Real Estate Value Fund 3","Redwood Real Estate","Jon Needell","949-709-8888","Value Add","$100,000,000 ","$22,000,000 ","$0 ","15","15","Retail, Medical Office, Student Housing","United States","1/11/12"
"335","Related Real Estate Recovery Fund","Related Cos.","Justin Metz","212-801-3392","Opportunity","$825,000,000 ","$825,000,000 ","$206,000,000 ","18","18","Distressed","United States","1/11/12"
"336","Resolution Real Estate Fund 3","Resolution Property","Robert Laurence","44-207-518-8383","Opportunity","$1,064,880,000 ","$1,064,880,000 ","$533,980,328 ","","","Office","England","1/11/12"
"337","Western Residential Opportunity Fund","Reven Capital","Chad Carpenter","858-459-4000","Opportunity","$100,000,000 ","$0 ","$0 ","20+","20+","Multifamily","Southwestern United States","1/11/12"
"338","Revere High Yield Debt Fund","Revere Capital","Clark Briner","646-521-6260","High Yield Debt","$50,000,000 ","$25,000,000 ","$20,000,000 ","13-16","13","Distressed, Mortgages, Retail, Office","Eastern United States, Boston, New York City, Philadelphia, Southwestern United States","1/11/12"
"339","Rexford Industrial Fund 5","Rexford Industrial","Michael Frankel","310-966-3814","Opportunity","$150,000,000 ","$75,000,000 ","$40,000,000 ","18","18","Industrial","Southern California","1/11/12"
"340","Rialto Real Estate Fund","Rialto Capital","Jeffrey Krasnoff","305-485-2065","Opportunity","$750,000,000 ","$300,000,000 ","","","","Multifamily","United States","1/11/12"
"341","Riveroak Urban Retail Investors Fund 1","RiverOak Investment","George Yerrall","203-325-8009","Value Add","$300,000,000 ","$0 ","$0 ","13-16","13","Retail","United States","1/11/12"
"342","Mkro 1","RiverOak Investment","James Nelson","212-696-2500","Value Add","$50,000,000 ","$6,000,000 ","$0 ","13-16","13","Office","New York City","1/11/12"
"343","ROC Fund 2","ROC Bridge Partners","Dan Stanger","801-284-2900","Opportunity","$375,000,000 ","$0 ","$0 ","20","20","Multifamily","United States","1/11/12"
"344","Rochenge Capital No. 2","RocHenge Capital","Bob Collawn","720-891-1319","Opportunity","$50,000,000 ","$0 ","$0 ","","","Office","Southwestern United States","1/11/12"
"345","Rockbridge Hospitality Fund 5","RockBridge Capital","James Merkel","614-246-2505","High Yield Debt","$350,000,000 ","$0 ","$0 ","16-18","16","Preferred Equity, Recapitalizations","United States","1/11/12"
"346","Rockpoint Real Estate Fund 4","Rockpoint Group","Keith Gelb","617-530-3971","Value Add","$2,500,000,000 ","$330,000,000 ","$0 ","15+","15+","Office, Multifamily","United States, Asia","1/11/12"
"347","Unnamed Vehicle","Rockspring Capital","Jim Mcalister Iv","713-535-2200","Value Add","$50,000,000 ","$0 ","$0 ","","","Land","United States","1/11/12"
"348","Rockspring Transeuropean Fund 5","Rockspring Property","Paul Hampton","44-207-761-3333","Core","$698,827,500 ","$170,401,777 ","$0 ","11","11","Office","Europe","1/11/12"
"349","Rockwood Capital Real Estate Partners Fund 9","Rockwood Capital","Sharon Ann Miller","914-287-8850","Value Add","$750,000,000 ","$0 ","$0 ","","","Office","United States","1/11/12"
"350","Roseview Investors Fund 2","Roseview","Vincent Costantini","617-956-4388","Value Add","$100,000,000 ","$0 ","$0 ","15+","15+","Distressed","United States","1/11/12"
"351","Catalyst Fund 2","RPD Catalyst","Scott Dew","310-557-1311","Opportunity","$75,000,000 ","$0 ","$0 ","","","Office, Retail","Midwestern Western United States","1/11/12"
"352","Rreef Real Estate Partners 3","RREEF","Christopher Papachristophorou","","Value Add","$1,331,100,000 ","$0 ","$0 ","15","15","Office","Europe","1/11/12"
"353","Rubenstein Properties Fund","Rubenstein Partners","Michael O'callaghan","215-399-4572","Value Add","$475,000,000 ","$475,000,000 ","$335,000,000 ","","","Office","Eastern United States","1/11/12"
"354","Sack Properties Multifamily Fund","Sack Properties","Kirby Sack","415-981-8320","Value Add","$50,000,000 ","$0 ","$0 ","12-14","12","Multifamily","Northern California","1/11/12"
"355","Sarofim Multifamily Development Fund 2","Sarofim Realty","Michael Doramus","214-692-4200","Core","$60,000,000 ","$60,000,000 ","$37,000,000 ","12.5+","12.5+","Senior Housing","Southwestern United States","1/11/12"
"356","Savanna Real Estate Fund 2","Savanna Investment","Kevin Chisholm, Chris Schlank","212-229-0101","Opportunity","$550,000,000 ","$550,000,000 ","$330,000,000 ","15-17","15","Office, Retail","Northeastern United States, Boston","1/11/12"
"357","Real Estate Capital Asia Partners 3","SC Management 3","Suchad Chiaranussati","65-6-887-5800","Opportunity","$400,000,000 ","$185,000,000 ","$59,000,000 ","","","Office, Retail, Industrial","Japan, China, Southeast Asia","1/11/12"
"358","Secured Capital Real Estate Partners 5","Secured Capital Japan","Phi Le","81-35-776-1300","Opportunity","$1,000,000,000 ","$0 ","$0 ","20","20","Office","Japan","1/11/12"
"359","Rainbow Nation Property Fund 2","Seedstone Fund Advisors","Pierre Du Preez","27-21-794-7061","Opportunity","$100,000,000 ","$0 ","$0 ","20+","20+","Office","South Africa","1/11/12"
"360","Sentinel Multifamily Value-added Fund 1","Sentinel Real Estate","Millie Cassidy","212-408-5000","Value Add","$85,000,000 ","$85,000,000 ","$35,000,000 ","","","Multifamily","United States","1/11/12"
"361","Shorenstein Realty Investors Fund 10","Shorenstein Properties","Charlie Malet","415-772-7059","Value Add","$1,232,700,000 ","$1,232,700,000 ","$0 ","","","Office","United States","1/11/12"
"362","Siguler Guff Distressed Real Estate Opportunity Fund","Siguler Guff","James Corl","212-634-5944","Opportunity","$630,000,000 ","$630,000,000 ","$320,000,000 ","20+","20+","Distressed","United States, Asia","1/11/12"
"363","Singerman Real Estate Opportunity Fund 1","Singerman Real Estate","Seth Singerman","312-543-8599","Opportunity","$100,000,000 ","$30,300,000 ","","18","18","Distressed","United States","1/11/12"
"364","Soundview Real Estate Partners 3","Soundview Real Estate","Nick Newman","203-588-7256","Value Add","$300,000,000 ","$300,000,000 ","$160,000,000 ","","","Office","United States","1/11/12"
"365","Sbc Latin America Housing Fund","Southern Bridge Capital ","David Goldfield","345-640-9271","Opportunity","$150,000,000 ","$75,000,000 ","$15,000,000 ","25","25","Multifamily","Latin America","1/11/12"
"366","Spear Street Capital 3","Spear Street Capital","John Grassi","415-222-7421","Opportunity","$600,000,000 ","$600,000,000 ","$375,000,000 ","18+","18+","Office","United States","1/11/12"
"367","Starwood Distressed Opportunity Fund 9","Starwood Capital","Jeffrey Dishner","203-422-7700","Opportunity","$2,500,000,000 ","$1,200,000,000 ","$0 ","16+","16+","Office","United States","1/11/12"
"368","Sterling Value Add Partners","Sterling Organization","Brian Kosoy","561-835-1810","Opportunity","$125,000,000 ","$50,000,000 ","$0 ","15-18","15","Retail","United States","1/11/12"
"369","Sterling Stamos Real Assets 2","Sterling Stamos Capital","Bruce Pflaum","650-233-5035","Fund of Funds","$125,000,000 ","$125,000,000 ","$92,000,000 ","15+","15+","Office, Lodging, Multifamily","United States, United States, Canada","1/11/12"
"370","Stockbridge Real Estate Fund 3","Stockbridge Capital","Stephen Pilch","415-658-3300","Opportunity","$1,150,000,000 ","$1,150,000,000 ","$340,000,000 ","","","Office","United States","1/11/12"
"371","Stoltz Real Estate Partners 4","Stoltz Real Estate","Brad Coburn","703-625-0009","Value Add","$500,000,000 ","$97,000,000 ","$0 ","15+","15+","Office","United States","1/11/12"
"372","Stonelake Opportunity Partners 2","Stonelake Capital","Kenneth Aboussie","512-236-0004","Opportunity","$110,000,000 ","$110,000,000 ","$50,000,000 ","","","Retail","United States","1/11/12"
"373","Stonemason Partners Fund 1","Stonemason Partners","Gustaf Arnoldsson","305-975-6020","Value Add","$50,000,000 ","$50,000,000 ","$20,000,000 ","","","Retail, Other","Southeastern United States, Georgia","1/11/12"
"374","Stratford Land Fund 4","Stratford Co.","Phillip Wiggins","214-368-9191","Opportunity","$400,000,000 ","$400,000,000 ","$270,000,000 ","","","Land","Southeastern United States, Southwestern United States","1/11/12"
"375","Unnamed Vehicle","Street-Works","Ken Narva, Richard Heapes","914-949-6505","Value Add","$100,000,000 ","$0 ","$0 ","13-16","13","Multifamily","United States","1/11/12"
"376","Sveafastigheter Fund 3","Sveafastigheter","Patrick Gylling","358-40-542-6397","Value Add","$421,958,700 ","$421,958,700 ","$210,523,890 ","15+","15+","Office, Retail, Industrial","Sweden, Finland, Baltic States","1/11/12"
"377","Svn Distressed Asset Opportunity Fund","SVN Equities","Burton Young","949-705-5004","Opportunity","$100,000,000 ","$0 ","$0 ","16-18","16","Office","United States","1/11/12"
"378","Realty Associates Fund 10","TA Associates Realty","Tom Landry","617-476-2740","Value Add","$1,250,000,000 ","$0 ","$0 ","12","12","Industrial","United States","1/11/12"
"379","Realty Associates Fund 9","TA Associates Realty","Tom Landry","617-476-2740","Value Add","$1,687,500,000 ","$1,687,500,000 ","","13+","13+","Office","United States","1/11/12"
"380","Taconic New York City Investment Fund","Taconic Investment","Paul Pariser, Charles Bendit","212-220-9945","Opportunity","$220,000,000 ","$220,000,000 ","$0 ","15-17","15","Multifamily, Office","New York City","1/11/12"
"381","Talmage Distressed Opportunity Fund","Talmage","Edward Shugrue","212-209-1388","High Yield Debt","$350,000,000 ","$0 ","$0 ","15","15","Distressed","United States","1/11/12"
"382","Tata Realty Initiatives Fund 1","Tata International","Sunil Doorga, Cyrus Engineer","230-251-5600","Opportunity","$750,000,000 ","$750,000,000 ","$375,000,000 ","18+","18+","Office, Retail","India","1/11/12"
"383","Terra Academy California Realty Income Fund","Terra Capital Partners, Academy Properties","Chance Mims","858-764-4314","High Yield Debt","$200,000,000 ","$0 ","$0 ","9-12","9","Mortgages, Preferred Equity","California, San Francisco","1/11/12"
"384","Terracap Partners Fund 2","TerraCap Management","Stephen Hagenbuckle","239-540-2002","Opportunity","$200,000,000 ","$10,000,000 ","$5,400,000 ","16","16","Office, Retail, Mixed Use","Florida, Georgia","1/11/12"
"385","Thackeray Partners Realty Fund 3","Thackeray Partners","Tony Dona","214-360-7833","Core","$225,000,000 ","$225,000,000 ","$0 ","10-13","10","Multifamily","United States","1/11/12"
"386","Thayer Hotel Investors 6","Thayer Lodging","Jin Lee","410-268-0515","Opportunity","$300,000,000 ","$0 ","$0 ","16","16","Lodging","United States","1/11/12"
"387","Thor Urban Operating Fund 3","Thor Equities","Joseph Sitt","212-529-5055","Opportunity","$400,000,000 ","$0 ","$0 ","","","Retail","United States","1/11/12"
"388","Tishman Speyer Brazil Fund 3","Tishman Speyer","Daniel Citron","55-115-504-7400","Opportunity","$400,000,000 ","$350,000,000 ","","","","Office","Brazil","1/11/12"
"389","Trade Street Capital Property Fund 1","Trade Street Capital","Ryan Hanks","704-998-8646","Core","$110,000,000 ","$110,000,000 ","$62,000,000 ","","","Office","Southwestern United States","1/11/12"
"390","Tremont Special Opportunity Debt Fund","Tremont Realty Capital","Richard Gallitto","617-867-0700 ","High Yield Debt","$300,000,000 ","$0 ","$0 ","","","Mortgages","United States","1/11/12"
"391","Tribeca Opportunity Fund","Tribeca Cos.","William Faidi","415-834-1430","Opportunity","$100,000,000 ","","","14-18","14","Multifamily","Western United States","1/11/12"
"392","Tricon Fund 11","Tricon Capital","Jonathan Ellenzweig","416-925-2959","Opportunity","$500,000,000 ","$0 ","$0 ","16-19","16","Distressed","Southwestern United States","1/11/12"
"393","Tricon Fund 12","Tricon Capital","Jonathan Ellenzweig","416-925-2959","Opportunity","$150,000,000 ","$140,000,000 ","$45,000,000 ","16-19","16","Multifamily","Canada","1/11/12"
"394","Curzon Capital Partners 3","Tristan Capital","Cameron Spry","44-203-463-8851","Core","$559,062,000 ","$559,062,000 ","$223,069,605 ","11","11","Office","Europe","1/11/12"
"395","True North High Yield Fund 2","True North Management","Paul Turovsky, Richard Gunthel","914-304-8763","High Yield Debt","$536,000,000 ","$536,000,000 ","$295,000,000 ","","","Distressed, Mortgages","United States","1/11/12"
"396","Tuckerman Multi Family Fund 5","Tuckerman Group","Paul Behar","914-701-4432","Value Add","$200,000,000 ","$0 ","$0 ","12-14","12","Multifamily","United States","1/11/12"
"397","Institutional Net Lease Fund 2010","U.S. Realty Advisors","Richard Ader","212-581-4540","Value Add","$355,000,000 ","$355,000,000 ","$53,000,000 ","14-16","14","Office","United States","1/11/12"
"398","Unitech International Realty Fund","Unitech Realty Investors","Deepak Bajaj","91-124-408-2020","Opportunity","$269,000,000 ","$269,000,000 ","$100,000,000 ","","","Multifamily","India","1/11/12"
"399","Urban American Fund 2","Urban American Management","Philip Eisenberg","201-553-9800","Value Add","$170,500,000 ","$170,500,000 ","$121,000,000 ","","","Multifamily","New York City","1/11/12"
"400","U.S. Core Plus Fund","USAA Real Estate","Bruce Petersen","210-641-8409","Core","$325,000,000 ","$0 ","$0 ","10-12","10","Office","United States","1/11/12"
"401","Admiral Capital Real Estate Fund","USAA Real Estate, Admiral Capital","Bruce Petersen","210-641-8409","Opportunity","$400,000,000 ","$94,000,000 ","$36,000,000 ","15-18","15","Office, Retail","United States","1/11/12"
"402","Vbi Brazil Real Estate Opportunities Fund 2","VBI","Rodrigo Abbud","55-113-817-1788","Opportunity","$500,000,000 ","$500,000,000 ","$100,000,000 ","","","Multifamily","Brazil","1/11/12"
"403","Velocis Fund","Velocis Partners","Fred Hamm","214-702-0221","Core","$150,000,000 ","$41,200,000 ","$15,200,000 ","10","10","Office","United States","1/11/12"
"404","Verdis Real Estate Partners 3","Verdis Investment","Jamie Biddle, Brooks Blake","610-397-1600","Fund of Funds","$125,000,000 ","$0 ","$0 ","15+","15+","Office, Retail","United States","1/11/12"
"405","Vestar Strategic Retail Partners","Vestar","Bob Cavanaugh","562-420-5104","Opportunity","$250,000,000 ","$0 ","$0 ","15-17","15","Retail","United States","1/11/12"
"406","Viking Partners Fund 2","Viking Partners","Ben Hall","513-429-2145","Value Add","$50,000,000 ","$30,000,000 ","$0 ","15","15","Retail, Office","Midwestern Western United States, Southeastern United States","1/11/12"
"407","Virtus Real Estate Capital","Virtus Real Estate","Kevin White","512-891-1213","Opportunity","$500,000,000 ","$0 ","$0 ","15-19","15","Office","United States","1/11/12"
"408","Virtus Student Housing","Virtus Real Estate","Kevin White","512-891-1213","Opportunity","$100,000,000 ","$25,000,000 ","$20,000,000 ","15-19","15","Multifamily, Student Housing, Industrial","Northeastern United States, Boston, Chicago","1/11/12"
"409","Vornado Capital Partners","Vornado Realty Trust","Michael Fascitelli","212-894-7000","Value Add","$800,000,000 ","$800,000,000 ","$383,000,000 ","12-16","12","Office, Retail","New York City, Washington D.C.","1/11/12"
"410","W3 Partners Value-add Fund","W3 Partners","Diane Olmstead","415-454-3202","Value Add","$300,000,000 ","$100,000,000 ","$22,700,000 ","13-15","13","Distressed, Preferred Equity","California, San Francisco, Los Angeles","1/11/12"
"411","Walton Edmonton Land Development Corp.","Walton Group","William Doherty","403-265-4255","Value Add","$150,220,650 ","$0 ","$0 ","15","15","Land","Canada","1/11/12"
"412","Walton U.S. Land Fund 2","Walton Group","Rob Leinbach","602-264-1298","Value Add","$50,000,000 ","$0 ","$0 ","15","15","Land","United States","1/11/12"
"413","Walton Street Mexico Fund 1","Walton Street Capital","Sandor Valner","52-555-980-4880","Opportunity","$282,000,000 ","$282,000,000 ","$170,000,000 ","18+","18+","Office","Mexico","1/11/12"
"414","Walton Street Real Estate Fund 6","Walton Street Capital","Jeff Quicksilver","312-915-2843","Opportunity","$2,000,000,000 ","$2,000,000,000 ","$1,200,000,000 ","","","Office","United States","1/11/12"
"415","Walton Street Real Estate Fund 7","Walton Street Capital","Jeff Quicksilver","312-915-2843","Opportunity","$2,000,000,000 ","$0 ","$0 ","18","18","Office","United States","1/11/12"
"416","Waterton Residential Property Fund 11","Waterton Associates","David Schwartz","312-948-4502","Value Add","$500,000,000 ","$500,000,000 ","$200,000,000 ","","","Multifamily","United States","1/11/12"
"417","Westbrook Real Estate Fund 9","Westbrook Partners","Sush Torgalkar","212-849-8800","Value Add","$2,000,000,000 ","$180,000,000 ","$0 ","15","15","Office","United States","1/11/12"
"418","Western National Realty Fund 3","Western National Realty","Steve Jasa","949-862-6291","Core","$300,000,000 ","$0 ","$0 ","12+","12+","Multifamily","California","1/11/12"
"419","Wcp Real Estate Fund 3","Westport Capital Partners","Greg Geiger","310-294-1232","Value Add","$500,000,000 ","$400,000,000 ","$100,000,000 ","15","15","Senior Housing, Lodging","United States, Europe","1/11/12"
"420","Westriver Real Estate Finance Fund","WestRiver Capital","Alex Zabik","212-247-7090","High Yield Debt","$200,000,000 ","$200,000,000 ","$100,000,000 ","","","Mortgages","United States","1/11/12"
"421","Wheelock Street Real Estate Fund","Wheelock Street Capital","Jonathan Paul, Rick Kleeman","203-413-7700","Opportunity","$500,000,000 ","$460,000,000 ","$45,000,000 ","17","17","Office, Retail","United States","1/11/12"
"422","Whi Real Estate Partners 2","WHI Real Estate","James Orth, David Rosenbaum","312-794-7867","Opportunity","$150,000,000 ","$62,000,000 ","$8,000,000 ","16","16","Distressed","United States","1/11/12"
"423","Willco Fund 1","Willco Cos.","Jason Goldblatt","301-279-7000","Opportunity","$100,000,000 ","$0 ","$0 ","","","Office","Washington D.C.","1/11/12"
"424","Trophy Property Development Fund 2","Winnington Capital","Kenneth Hung","852-2-913-7000","Opportunity","$500,000,000 ","$100,100,000 ","$0 ","","","Mixed Use","China","1/11/12"
"425","Woodbourne Canada Partners Fund 2","Woodbourne Investment","Jake Herman","416-867-9090","Opportunity","$300,441,300 ","","","18","18","Multifamily, Manufactured Housing","Canada","1/11/12"
"426","Woodbury Strategic Partners Fund","Woodbury Corp.","Lane Critchfield","801-961-1130","Value Add","$150,000,000 ","$120,000,000 ","$25,000,000 ","","","Office","Western United States","1/11/12"
"427","Wp Real Estate Fund 5","WP Realty","Kristi Dubeau","610-552-6000","Opportunity","$115,000,000 ","$115,000,000 ","$57,500,000 ","","","Retail","Northeastern United States","1/11/12"
"428","Wrightwood Capital High Yield Partners 2","Wrightwood Capital","David Friedman","312-324-5900","High Yield Debt","$243,000,000 ","$243,000,000 ","$155,000,000 ","13-15","13","Mortgages","United States","1/11/12"
"429","Xander Jv Fund 1","Xander Group","Sid Yog","91-116-611-8000","Opportunity","$500,000,000 ","$500,000,000 ","$75,000,000 ","","","Retail","India","1/11/12"
