Hometown,Latitude,Longitude
"Gibson, LA",29.654609,-90.912489
"Holliday, UT",40.668836,-111.824656
"Ladson, SC",33.01317,-80.107174
"Carthage, TX",32.183133,-94.309189
"El Paso, TX",32.342351,-99.561747
"Largo, FL",27.916998,-82.802668
"Livonia, MI",42.369351,-83.371753
"Reynoldsburg, OH",39.951513,-82.802896
"Templeton, CA",35.517781,-120.65385
"Kirtland, OH",41.354945,-80.778301
"Moorpark, CA",34.032383,-119.1343
"Oil City, PA",39.875924,-77.993057
"Kechi, KS",37.810488,-97.259353
"Hanahan, SC",32.918507,-80.022032
"Oviedo, FL",28.744752,-81.22328
"Orchard Lake, MI",45.556956,-84.464478
"West Des Moines, IA",41.672687,-93.572173
"Aztec, NM",36.842198,-107.818288
"Jonesboro, AR",35.835847,-90.623071
"Edgard, LA",30.033264,-90.575432
"Farmington Hills, MI",42.445035,-83.385489
"Atwater, CA",37.317255,-120.647347
"Franklin, TN",35.890746,-86.965691
"Sterling, IL",41.835669,-89.745941
"Hyrum, UT",41.717589,-111.879653
"Altamont, KS",37.222616,-95.360819
"Minneapolis, MN",44.979265,-93.273024
"Hampton, GA",33.408112,-84.273764
"Lansing, MI",42.732535,-84.555535
"Allenton, PA",40.607497,-75.470026
"Warminster, PA",40.208476,-75.040613
"Hemet, CA",33.651652,-116.777014
"Des Moines, IA",41.672687,-93.572173
"Irvington, NJ",40.726231,-74.23294
"Gardena, CA",33.888315,-118.295256
"Bethesda, MD",39.143979,-77.207617
"Foster City, CA",37.558547,-122.271079
"Brooklyn Park, MN",45.076076,-93.332728
"Mineral Wells, TX",28.424535,-97.732736
"Winnfield, LA",31.914948,-92.669269
"Shelby, NC",35.312012,-81.556777
"Palo Alto, CA",33.016928,-116.846046
"Parker, CO",39.505205,-104.773313
"Madisonville, KY",37.299458,-87.532576
"Midland, TX",31.861876,-102.091276
"Port Lavaca, TX",31.477095,-98.630919
"Collinsville, IL",38.733747,-89.908644
"Fort Oglethorpe, GA",32.327479,-84.101472
"Newport Beach, CA",33.61891,-117.928947
"Eden Prarie, MN",43.602187,-92.346836
"Graham, TX",33.092674,-98.64403
"Richlands, VA",37.186196,-81.554668
"Papillion, NE",41.118594,-96.060367
"Statham, GA",33.980323,-83.590148
"South Euclid, OH",41.523108,-81.518455
"Van, TX",29.3783,-96.792478
"Hickory Creek, TX",31.587113,-96.728043
"Granbury, TX",32.435405,-97.844867
"Hialeah, FL",25.558428,-80.458168
"Scranton, SC",33.937275,-79.769899
"Sunrise, FL",26.133975,-80.1131
"Monroe, WA",47.863149,-121.88433
"West Portsmouth, OH",40.783113,-81.529843
"Winter Garden, FL",30.889628,-86.279945
"Hueytown, AL",33.45122,-86.996661
"Belton, TX",26.074244,-97.823052
"St. John's, CA",40.042949,-120.75384
"Lithia, FL",27.893718,-82.205331
"Coral Springs, FL",30.08076,-84.327675
"Bartlesville, OK",36.759485,-95.970182
"Grenta, NE",40.846046,-101.7258
"Cleveland, MS",33.847591,-90.84313
"O'Fallon, IL",38.571835,-89.89568
"Redford, MI",42.392286,-83.282029
"Novato, CA",38.027654,-122.540951
"Crowley, TX",32.477364,-95.520237
"Elmira, OR",44.097363,-123.388216
"Terry, MS",33.685766,-90.607299
"Mascotte, FL",28.58299,-81.894119
"Forney, TX",33.253448,-96.43554
"Florence, KY",38.962372,-84.747789
"Monmouth, OR",44.808768,-123.326075
"Burtonsville, MD",39.392603,-77.35804
"Wesley Chapel, FL",30.505195,-85.118253
"Pasadena, TX",29.83399,-95.434241
"Downers Grove, IL",41.796279,-88.012267
"Concord Township, OH",40.143119,-82.637945
"Novi, MI",42.468959,-83.522221
"Kansas City, KS",39.103053,-94.630384
"Harrisburg, PA",40.264589,-76.869644
"Woodbridge, CT",41.353296,-73.013981
"Berkeley Heights, NJ",39.900119,-74.182918
"McKinney, TX",33.088731,-95.127718
"Tatum, TX",32.301179,-94.742539
"San Pedro, CA",33.753088,-118.253053
"Wichita Falls, TX",30.841022,-97.30361
"Frisco, TX",30.642421,-96.542746
"N. Richland Hills, TX",32.815962,-97.22807
"Seffner, FL",27.871964,-82.438841
"Albuquerque, NM",35.084491,-106.651137
"Odessa, TX",31.409063,-96.715817
"Sherman, TX",33.647425,-96.659726
"Covington, GA",33.529341,-83.849622
"Redding, PA",40.357242,-75.940153
"Murrieta, CA",33.44204,-116.861027
"Colorado Springs, CO",38.861469,-104.857828
"Upper St. Clair, PA",39.850354,-79.778659
"Dade City, FL",28.36886,-82.322756
"Sylvania, OH",41.028371,-82.242915
"Monroe, NC",35.074176,-80.527827
"Natchez, MS",31.527752,-91.307025
"Seaford, NY",40.683897,-73.496169
"Chatsworth, CA",34.240837,-118.637033
"Scranton, PA",41.401881,-75.637626
"Mount Airy, NC",36.444303,-80.665406
"Hallandale, FL",26.145724,-80.448254
"Crosby, TX",29.83399,-95.434241
"Mentor, OH",41.679291,-81.328779
"Goodlettsville, TN",36.186605,-86.785248
"Lindon, UT",40.340251,-111.719923
"Iowa City, IA",43.198027,-92.161281
"Elyria, OH",41.371396,-82.105112
"Ridgefield, CT",41.308201,-73.494637
"Blythewood, SC",34.104758,-80.918919
"Pembroke Pines, FL",30.021079,-84.386837
"Woodland Hills, CA",39.08337,-121.397892
"Melbourne, FL",28.085294,-80.666444
"Petersburg, VA",37.227928,-77.401927
"Clearwater, FL",27.978147,-82.781523
"Durham, NC",35.981803,-78.906933
"Bamberg, SC",33.206294,-80.973559
"East Orange, NJ",40.77185,-74.207039
"Midwest City, OK",35.449507,-97.396702
"Lago Vista, TX",29.865649,-99.686783
"Lorain, OH",41.450991,-82.166534
"Ardmore, OK",34.156627,-97.179214
"Adel, IA",41.617591,-94.034515
"Diamond Bar, CA",33.786594,-118.298662
"Muldrow, OK",35.470128,-94.539715
"Granite Falls, NC",36.219017,-81.683719
"Riverdale, GA",33.555536,-84.397997
"Yulee, FL",30.6233,-81.590249
"Puyallup, WA",47.212822,-122.317148
"Paris, TN",36.470895,-88.915061
"Hallsville, TX",32.526928,-94.573183
"Buffalo, SD",45.576652,-103.911719
"Jasper, AL",33.796234,-87.316923
"Hammonton, NJ",39.563616,-74.711081
"Edwardsville, IL",40.836603,-89.726242
"Princeton, NJ",40.363882,-74.64795
"Versailles, KY",37.998762,-84.737666
"New Smyrna Beach, FL",28.951931,-81.033705
"Greenwich, CT",41.042746,-73.62617
"Pearl, MS",32.002099,-90.198975
"Dayton, OR",45.187141,-123.077797
"Woodbury, MN",44.923855,-92.95938
"Mishawaka, IN",41.61536,-86.287884
"Live Oak, FL",29.252197,-82.115648
"Los Alamitos, CA",33.640302,-117.769442
"Lantana, TX",29.117752,-97.370824
"Cleveland, TX",30.343114,-94.978471
"Midlothian, IL",41.811929,-87.68732
"Longview, TX",32.517846,-94.730285
"Athens, TX",32.188097,-95.882391
"Haltom City, TX",32.801874,-97.263393
"Dover, DE",39.156376,-75.49549
"Clemmons, NC",36.081218,-80.328298
"Tyler, TX",32.400038,-97.933708
"Lombard, IL",41.869829,-88.003864
"Whitinsville, MA",42.166554,-71.899484
"Montgomery, AL",32.356988,-86.257817
"North Royalton, OH",39.727564,-82.76656
"Miami Gardens, FL",30.440794,-81.698988
"Vienna, VA",38.897361,-77.253749
"Rowlett, TX",32.91747,-96.534737
"Hilton Head Island, SC",34.137092,-81.306209
"Green Cove Springs, FL",30.08076,-84.327675
"Harker Heights, TX",31.08351,-97.659738
"Dayton, TX",30.064742,-94.80927
"Magnolia, TX",29.708284,-97.584441
"Port Allen, LA",30.494882,-91.309262
"Leesburg, FL",28.758895,-81.888695
"Hinsdale, IL",41.78213,-87.966845
"Opelika, AL",32.621147,-85.392878
"Scarsdale, NY",40.983431,-73.793188
"Pinewood, SC",33.756082,-80.457854
"Milton, FL",29.832708,-85.29714
"Williston, SC",33.302264,-81.376276
"Clayton, OH",38.743684,-83.675475
"Soddy-Daisy, TN",35.211052,-85.198979
"La Vernia, TX",33.253448,-96.43554
"Lake in the Hills, IL",38.155485,-88.819501
"Cordova, TN",35.104589,-89.900314
"Port St. Joe, FL",30.88276,-87.102495
"Hamilton, NJ",40.207057,-74.081251
"Goochland, VA",37.725416,-77.995
"Colleyville, TX",32.779306,-94.409362
"Duncanville, TX",32.767268,-96.777626
"Blairsville, GA",34.867512,-83.967636
"Plattsmouth, NE",40.971961,-96.001244
"Covington, KY",39.05906,-84.542748
"Whitehouse, TX",32.219518,-95.217652
