"","CIP_Classificaiton","Year","White.Men","Foreign.Men","Foreign.Women","Asian.Islander.Men","Asian.Islander.Women","White.Women","Hispanic.Men","Hispanic.Women","Black.Men","Black.Women","Other.Men","Other.Women"
"788","Public administration and social service professions.","2004-2005",172,3,5,20,42,544,28,66,22,94,14,35
"789","Social Sciences and History","2004-2005",6168,295,213,729,666,5050,607,651,536,753,398,277
"790","Visual and performing arts.","2004-2005",1672,65,98,158,269,2945,188,214,139,152,139,175
"791","Health Professions and Related Programs","2004-2005",450,16,37,69,280,2987,48,245,56,391,22,116
"792","Business- Management- Marketing- and Related Support Services","2004-2005",9761,617,571,1133,1217,6902,635,626,477,621,377,302
"793","History","2004-2005",1523,6,7,59,54,916,94,67,59,75,86,53
"794","Area- Ethnic- Cultural- Gender- and Group Studies","2004-2005",157,3,13,27,57,367,26,67,45,137,23,42
"795","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","2004-2005",484,0,2,43,35,397,61,79,65,114,23,17
"796","Parks- Recreation- Leisure and Fitness Studies","2004-2005",843,13,12,42,53,972,62,53,76,118,30,47
"797","Science Technologies","2004-2005",19,1,0,1,0,8,0,0,2,3,0,1
"798","Engineering Technologies and Engineering-related Fields","2004-2005",612,15,4,30,8,71,29,13,13,13,17,2
"799","Liberal arts and sciences- general studies and humanities.","2004-2005",634,12,6,43,51,738,31,57,66,100,38,46
"800","Mechanics and Repairers","2004-2005",12,0,0,0,0,0,0,0,1,0,0,0
"801","Transportation and materials moving.","2004-2005",154,3,1,8,1,15,7,1,1,1,9,2
"802","Theology and religious vocations.","2004-2005",20,0,0,0,2,11,1,3,0,0,0,0
"803","Legal professions and studies.","2004-2005",20,0,1,1,3,11,1,2,2,3,1,1
"804","Communications Technologies/Technicians and Support Services","2004-2005",47,0,0,2,1,33,0,2,1,7,0,0
"805","Military technologies.","2004-2005",0,0,0,0,0,0,0,0,0,0,0,0
"806","Precision Production Trades","2004-2005",12,0,0,0,0,0,1,0,0,0,0,0
"807","Agriculture- Agriculture Operations and Related Sciences","2005-2006",1721,25,17,25,56,1428,72,76,46,52,56,46
"808","Natural Resources and Conservation","2005-2006",570,11,16,12,31,460,18,22,8,16,38,23
"809","Architecture and Related Services","2005-2006",707,26,25,49,41,491,50,48,25,19,20,30
"810","Communication- Journalism- and Related Programs","2005-2006",1986,43,104,156,332,4421,185,432,175,419,96,234
"811","Computer and Information Sciences and Support Services","2005-2006",1268,157,56,308,85,166,99,21,81,31,83,16
"812","Education","2005-2006",1072,9,20,23,121,3770,47,144,83,183,42,124
"813","Engineering","2005-2006",6095,671,208,1141,396,1416,563,182,324,201,316,85
"814","Foreign Languages- Literatures- and Linguistics","2005-2006",676,15,34,42,102,1152,76,204,27,75,44,69
"815","Family and Consumer Sciences/Human Sciences","2005-2006",531,5,25,24,126,2727,25,132,59,248,14,71
"816","English language and literature/letters.","2005-2006",1466,15,26,84,196,2800,110,189,83,249,76,141
"817","Biological and Biomedical Sciences","2005-2006",2168,70,121,555,716,2681,213,284,108,296,111,136
"818","Mathematics and Statistics","2005-2006",558,53,21,100,65,345,47,23,40,35,33,12
"819","Multi/Interdisciplinary Studies","2005-2006",583,61,56,73,159,1494,65,172,42,85,38,59
"820","Philosophy and Religious Studies","2005-2006",591,3,4,34,29,282,45,23,33,24,41,29
"821","Physical Sciences","2005-2006",897,38,23,85,79,489,51,31,29,44,46,34
"822","Psychology","2005-2006",1410,23,101,176,406,4025,136,406,126,484,83,228
"823","Public administration and social service professions.","2005-2006",175,3,7,13,49,502,19,78,37,99,15,43
"824","Social Sciences and History","2005-2006",6184,308,248,717,645,5001,663,586,502,766,369,341
"825","Visual and performing arts.","2005-2006",1714,56,97,143,266,2774,171,220,119,151,151,188
"826","Health Professions and Related Programs","2005-2006",514,20,48,72,328,3088,60,313,58,376,31,148
"827","Business- Management- Marketing- and Related Support Services","2005-2006",9684,601,488,1097,1220,6893,600,612,466,557,418,318
"828","History","2005-2006",1645,10,4,70,65,992,98,70,50,61,90,55
"829","Area- Ethnic- Cultural- Gender- and Group Studies","2005-2006",178,6,11,29,59,395,28,66,72,112,13,31
"830","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","2005-2006",501,2,1,45,33,388,59,67,70,128,42,26
"831","Parks- Recreation- Leisure and Fitness Studies","2005-2006",976,11,23,43,69,1031,64,68,80,100,41,45
"832","Science Technologies","2005-2006",19,0,0,0,0,10,0,0,2,1,2,0
"833","Engineering Technologies and Engineering-related Fields","2005-2006",588,11,2,25,7,53,38,12,13,13,26,0
"834","Liberal arts and sciences- general studies and humanities.","2005-2006",573,8,7,35,68,711,27,51,60,81,37,69
"835","Mechanics and Repairers","2005-2006",16,0,0,0,0,0,0,0,0,0,0,0
"836","Transportation and materials moving.","2005-2006",188,5,0,11,0,22,7,3,5,1,8,3
"837","Theology and religious vocations.","2005-2006",13,0,0,0,0,10,3,2,0,0,0,0
"838","Legal professions and studies.","2005-2006",20,1,0,1,2,12,2,4,1,2,0,0
"839","Communications Technologies/Technicians and Support Services","2005-2006",32,0,1,0,3,50,0,1,1,4,0,0
"840","Military technologies.","2005-2006",0,0,0,0,0,0,0,0,0,0,0,0
"841","Precision Production Trades","2005-2006",4,0,0,0,0,0,0,0,0,0,0,0
"842","Agriculture- Agriculture Operations and Related Sciences","2006-2007",1812,23,23,34,61,1473,76,92,36,64,63,50
"843","Natural Resources and Conservation","2006-2007",554,9,9,15,24,414,23,27,7,13,34,28
"844","Architecture and Related Services","2006-2007",675,24,26,42,56,522,67,54,26,16,43,36
"845","Communication- Journalism- and Related Programs","2006-2007",1934,37,102,147,380,4425,180,463,181,416,106,233
"846","Computer and Information Sciences and Support Services","2006-2007",1133,120,38,197,77,148,77,19,64,26,84,10
"847","Education","2006-2007",1189,9,19,33,124,3823,41,143,86,195,51,163
"848","Engineering","2006-2007",6146,613,153,1064,348,1296,481,169,324,169,314,59
"849","Foreign Languages- Literatures- and Linguistics","2006-2007",621,15,25,51,96,1316,103,189,31,80,42,83
"850","Family and Consumer Sciences/Human Sciences","2006-2007",556,9,31,28,128,2610,33,169,70,277,17,91
"851","English language and literature/letters.","2006-2007",1337,14,16,62,175,2863,111,199,83,249,98,166
"852","Biological and Biomedical Sciences","2006-2007",2408,52,129,614,824,2948,210,270,108,323,151,159
"853","Mathematics and Statistics","2006-2007",562,42,21,107,63,363,40,31,24,31,34,17
"854","Multi/Interdisciplinary Studies","2006-2007",607,41,41,97,202,1488,78,210,43,89,40,56
"855","Philosophy and Religious Studies","2006-2007",568,7,2,48,34,238,45,22,21,14,44,22
"856","Physical Sciences","2006-2007",908,35,24,117,94,502,58,28,37,35,57,28
"857","Psychology","2006-2007",1446,24,98,163,398,3983,150,454,140,556,84,225
"858","Public administration and social service professions.","2006-2007",175,3,8,22,60,567,40,75,32,106,22,35
"859","Social Sciences and History","2006-2007",6223,279,232,676,670,4881,642,664,539,741,390,359
"860","Visual and performing arts.","2006-2007",1771,50,92,157,237,2931,147,229,118,140,134,218
"861","Health Professions and Related Programs","2006-2007",587,19,52,80,348,3380,63,324,70,417,23,169
"862","Business- Management- Marketing- and Related Support Services","2006-2007",9658,542,450,1173,1063,6792,663,611,416,565,460,336
"863","History","2006-2007",1705,9,6,67,60,978,114,73,52,59,83,55
"864","Area- Ethnic- Cultural- Gender- and Group Studies","2006-2007",193,5,24,34,76,372,30,72,61,100,23,40
"865","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","2006-2007",510,1,1,50,30,404,69,79,69,112,36,32
"866","Parks- Recreation- Leisure and Fitness Studies","2006-2007",934,14,29,66,66,1044,86,80,84,98,48,42
"867","Science Technologies","2006-2007",15,0,0,0,0,9,0,0,0,0,3,1
"868","Engineering Technologies and Engineering-related Fields","2006-2007",554,11,2,22,5,46,35,4,15,5,26,4
"869","Liberal arts and sciences- general studies and humanities.","2006-2007",550,8,10,31,40,741,28,60,79,85,42,58
"870","Mechanics and Repairers","2006-2007",16,2,0,0,0,0,0,0,0,0,0,0
"871","Transportation and materials moving.","2006-2007",164,6,0,13,3,17,8,1,7,0,6,4
"872","Theology and religious vocations.","2006-2007",10,1,0,1,0,18,3,2,0,2,0,0
"873","Legal professions and studies.","2006-2007",19,1,0,2,2,18,1,5,0,2,0,0
"874","Communications Technologies/Technicians and Support Services","2006-2007",33,0,0,1,3,44,1,0,0,2,1,1
"875","Precision Production Trades","2006-2007",0,0,0,0,0,0,0,0,0,0,0,0
"876","Agriculture- Agriculture Operations and Related Sciences","2007-2008",1845,16,21,35,68,1496,86,109,64,55,60,67
"877","Natural Resources and Conservation","2007-2008",573,3,7,21,16,433,15,24,10,13,30,45
"878","Architecture and Related Services","2007-2008",609,15,31,51,66,462,61,46,30,19,34,33
"879","Communication- Journalism- and Related Programs","2007-2008",2071,33,99,153,343,4367,204,492,171,423,95,214
"880","Computer and Information Sciences and Support Services","2007-2008",968,78,21,179,50,88,94,13,62,21,64,6
"881","Education","2007-2008",1099,7,18,14,105,3669,43,134,85,179,49,154
"882","Engineering","2007-2008",6368,585,157,1115,340,1390,589,176,337,148,377,77
"883","Foreign Languages- Literatures- and Linguistics","2007-2008",634,12,35,59,117,1340,96,208,36,83,45,91
"884","Family and Consumer Sciences/Human Sciences","2007-2008",526,10,24,27,144,2655,36,182,72,249,24,106
"885","English language and literature/letters.","2007-2008",1414,7,13,87,159,2795,111,217,99,253,98,160
"886","Biological and Biomedical Sciences","2007-2008",2396,71,128,668,873,2795,230,301,130,312,132,194
"887","Mathematics and Statistics","2007-2008",547,53,37,103,56,356,38,20,28,20,35,22
"888","Multi/Interdisciplinary Studies","2007-2008",700,57,76,108,215,1575,72,204,60,85,40,69
"889","Philosophy and Religious Studies","2007-2008",534,4,1,48,25,266,62,28,21,19,45,29
"890","Physical Sciences","2007-2008",947,40,26,120,107,478,76,52,31,45,50,33
"891","Psychology","2007-2008",1374,19,99,184,439,3736,143,433,146,510,94,250
"892","Public administration and social service professions.","2007-2008",191,5,6,23,48,557,30,68,37,108,23,35
"893","Social Sciences and History","2007-2008",6418,276,234,673,661,5055,689,673,609,708,405,377
"894","Visual and performing arts.","2007-2008",1671,45,79,137,251,2890,195,251,115,165,157,192
"895","Health Professions and Related Programs","2007-2008",656,25,57,103,366,3561,81,347,73,428,37,183
"896","Business- Management- Marketing- and Related Support Services","2007-2008",10016,542,474,1161,1070,6941,689,639,429,503,537,348
"897","History","2007-2008",1660,5,7,62,40,1045,124,83,48,74,90,64
"898","Area- Ethnic- Cultural- Gender- and Group Studies","2007-2008",160,7,9,32,50,411,32,62,44,133,27,40
"899","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","2007-2008",534,1,1,49,43,353,78,90,81,110,40,27
"900","Parks- Recreation- Leisure and Fitness Studies","2007-2008",1044,10,17,66,65,1252,118,92,115,175,75,59
"901","Science Technologies","2007-2008",18,0,0,1,0,4,0,0,4,1,1,0
"902","Engineering Technologies and Engineering-related Fields","2007-2008",608,8,2,14,3,52,44,9,13,3,25,2
"903","Liberal arts and sciences- general studies and humanities.","2007-2008",587,7,10,34,51,725,28,66,70,81,42,57
"904","Mechanics and Repairers","2007-2008",21,4,0,0,0,1,0,0,0,0,1,0
"905","Transportation and materials moving.","2007-2008",170,9,1,7,3,20,7,1,8,0,11,1
"906","Theology and religious vocations.","2007-2008",11,0,0,1,1,14,1,2,1,0,0,0
"907","Legal professions and studies.","2007-2008",23,1,0,1,1,11,2,5,2,0,0,0
"908","Communications Technologies/Technicians and Support Services","2007-2008",40,0,0,1,1,20,1,5,2,3,1,0
"909","Precision Production Trades","2007-2008",0,0,0,0,0,0,0,0,0,0,0,0
"910","Agriculture- Agriculture Operations and Related Sciences","2008-2009",1897,22,15,41,60,1526,95,136,65,52,60,68
"911","Natural Resources and Conservation","2008-2009",585,5,6,20,28,445,42,33,12,14,45,36
"912","Architecture and Related Services","2008-2009",663,23,24,62,54,492,67,52,23,17,26,24
"913","Communication- Journalism- and Related Programs","2008-2009",2058,42,105,155,387,4438,188,486,176,449,124,242
"914","Computer and Information Sciences and Support Services","2008-2009",955,92,14,191,41,98,81,14,89,23,51,5
"915","Education","2008-2009",1104,11,13,22,74,3738,40,166,80,160,51,169
"916","Engineering","2008-2009",6491,586,191,1106,343,1393,670,190,287,149,389,79
"917","Foreign Languages- Literatures- and Linguistics","2008-2009",659,13,46,61,136,1290,106,227,39,92,49,96
"918","Family and Consumer Sciences/Human Sciences","2008-2009",536,10,22,35,155,2669,36,174,88,283,18,109
"919","English language and literature/letters.","2008-2009",1414,12,27,72,202,2721,123,250,92,261,99,171
"920","Biological and Biomedical Sciences","2008-2009",2474,64,109,695,905,2828,247,335,150,284,178,198
"921","Mathematics and Statistics","2008-2009",585,54,25,120,61,349,53,29,38,29,45,12
"922","Multi/Interdisciplinary Studies","2008-2009",752,62,61,137,237,1520,68,215,70,131,55,87
"923","Philosophy and Religious Studies","2008-2009",538,5,6,49,29,291,54,27,22,27,54,19
"924","Physical Sciences","2008-2009",926,32,25,136,100,536,72,53,39,34,72,33
"925","Psychology","2008-2009",1365,35,112,198,476,3809,151,475,133,508,97,239
"926","Public administration and social service professions.","2008-2009",251,4,9,23,77,580,25,77,31,129,17,32
"927","Social Sciences and History","2008-2009",6287,299,256,728,651,4955,707,799,552,789,422,368
"928","Visual and performing arts.","2008-2009",1665,48,67,141,262,2865,171,266,130,164,134,214
"929","Health Professions and Related Programs","2008-2009",667,22,60,95,394,3750,84,355,72,421,53,228
"930","Business- Management- Marketing- and Related Support Services","2008-2009",10282,517,444,1191,1045,7124,801,619,491,520,564,369
"931","History","2008-2009",1663,11,8,75,61,1027,109,86,50,47,97,55
"932","Area- Ethnic- Cultural- Gender- and Group Studies","2008-2009",193,5,15,32,52,421,37,68,45,102,13,44
"933","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","2008-2009",532,1,0,57,30,330,74,90,65,115,27,27
"934","Liberal arts and sciences- general studies and humanities.","2008-2009",669,6,12,31,54,793,40,58,86,83,52,83
"935","Parks- Recreation- Leisure and Fitness Studies","2008-2009",1176,19,21,84,93,1246,118,117,123,171,59,58
"936","Science Technologies","2008-2009",12,0,1,0,0,7,0,0,2,4,0,0
"937","Engineering Technologies and Engineering-related Fields","2008-2009",677,8,4,20,8,54,39,5,16,3,30,3
"938","Mechanics and Repairers","2008-2009",7,0,0,1,0,3,0,0,0,0,1,0
"939","Transportation and materials moving.","2008-2009",150,4,1,17,1,13,8,2,5,1,7,4
"940","Theology and religious vocations.","2008-2009",15,0,0,0,0,15,0,1,0,0,0,0
"941","Legal professions and studies.","2008-2009",17,0,0,0,0,10,2,5,2,2,4,1
"942","Communications Technologies/Technicians and Support Services","2008-2009",36,0,0,0,1,39,1,1,1,3,1,2
"943","Precision Production Trades","2008-2009",0,0,0,0,0,0,0,0,0,0,0,0
"944","Agriculture- Agriculture Operations and Related Sciences","2009-2010",1842,11,12,43,57,1530,116,109,49,73,74,75
"945","Natural Resources and Conservation","2009-2010",564,1,10,14,22,503,36,41,7,16,41,44
"946","Architecture and Related Services","2009-2010",569,14,17,44,46,428,82,56,29,10,32,35
"947","Communication- Journalism- and Related Programs","2009-2010",2189,35,88,163,397,4949,251,571,196,476,127,299
"948","Computer and Information Sciences and Support Services","2009-2010",943,93,21,171,48,117,84,2,76,15,76,13
"949","Education","2009-2010",1030,3,16,17,95,3631,32,166,79,183,47,169
"950","Engineering","2009-2010",6903,571,177,1086,356,1476,673,225,332,131,476,99
"951","Foreign Languages- Literatures- and Linguistics","2009-2010",670,7,27,55,148,1290,113,235,33,92,72,106
"952","Family and Consumer Sciences/Human Sciences","2009-2010",480,8,23,35,128,2669,40,221,84,266,18,116
"953","English language and literature/letters.","2009-2010",1189,12,17,82,172,2298,127,239,93,211,112,194
"954","Biological and Biomedical Sciences","2009-2010",2684,82,93,784,930,2893,321,369,157,294,216,239
"955","Mathematics and Statistics","2009-2010",613,61,50,116,59,373,62,21,23,30,43,31
"956","Multi/Interdisciplinary Studies","2009-2010",806,15,35,106,206,1622,76,254,95,136,97,113
"957","Philosophy and Religious Studies","2009-2010",512,6,7,46,20,223,59,27,34,25,52,26
"958","Physical Sciences","2009-2010",979,30,26,135,97,549,82,55,40,45,89,46
"959","Psychology","2009-2010",1422,13,106,197,507,3571,176,526,164,539,122,301
"960","Public administration and social service professions.","2009-2010",246,5,12,27,66,615,29,104,48,134,18,51
"961","Social Sciences and History","2009-2010",6332,425,352,821,687,4945,785,784,596,750,487,427
"962","Visual and performing arts.","2009-2010",1720,40,77,153,208,2860,198,281,106,169,178,268
"963","Health Professions and Related Programs","2009-2010",695,20,48,145,368,4050,79,414,73,422,66,269
"964","Business- Management- Marketing- and Related Support Services","2009-2010",10543,579,489,1216,1075,7307,840,716,497,528,624,415
"965","History","2009-2010",1722,10,8,67,51,988,154,99,56,60,128,64
"966","Area- Ethnic- Cultural- Gender- and Group Studies","2009-2010",200,10,12,24,56,420,35,77,51,111,30,47
"967","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","2009-2010",560,3,2,41,27,362,76,88,75,104,35,25
"968","Liberal arts and sciences- general studies and humanities.","2009-2010",571,9,8,37,35,641,31,54,54,79,50,93
"969","Parks- Recreation- Leisure and Fitness Studies","2009-2010",1155,20,17,90,81,1303,128,132,127,149,79,77
"970","Engineering Technologies and Engineering-related Fields","2009-2010",611,14,6,11,9,65,56,7,17,0,18,0
"971","Mechanics and Repairers","2009-2010",15,0,0,1,0,0,0,0,0,0,2,0
"972","Transportation and materials moving.","2009-2010",140,6,1,10,1,22,7,1,3,2,11,3
"973","Theology and religious vocations.","2009-2010",16,0,0,0,0,12,3,2,1,0,0,0
"974","Legal professions and studies.","2009-2010",14,0,0,0,1,11,3,2,1,2,1,4
"975","Communications Technologies/Technicians and Support Services","2009-2010",31,0,0,3,3,45,0,2,1,5,0,3
"976","Agriculture- Agriculture Operations and Related Sciences","2010-2011",1873,21,27,34,61,1577,96,121,55,69,88,78
"977","Natural Resources and Conservation","2010-2011",715,6,3,30,35,572,44,75,7,9,50,64
"978","Architecture and Related Services","2010-2011",568,21,21,33,67,410,52,60,25,18,50,26
"979","Communication- Journalism- and Related Programs","2010-2011",2135,56,100,169,382,4811,253,607,207,479,128,336
"980","Computer and Information Sciences and Support Services","2010-2011",1016,102,23,200,38,122,93,19,60,20,70,15
"981","Education","2010-2011",992,6,11,27,109,3669,33,163,77,163,64,133
"982","Engineering","2010-2011",7103,683,170,1136,347,1577,729,207,334,140,513,156
"983","Foreign Languages- Literatures- and Linguistics","2010-2011",644,13,30,49,146,1359,114,250,45,93,66,120
"984","Family and Consumer Sciences/Human Sciences","2010-2011",487,8,30,37,151,2745,48,210,87,273,17,135
"985","English language and literature/letters.","2010-2011",1205,10,19,76,159,2249,141,268,81,194,100,173
"986","Biological and Biomedical Sciences","2010-2011",2579,80,135,827,965,3252,352,444,168,317,218,257
"987","Mathematics and Statistics","2010-2011",602,90,62,133,74,399,66,47,25,26,53,32
"988","Multi/Interdisciplinary Studies","2010-2011",849,18,34,106,223,1654,91,209,80,118,115,146
"989","Philosophy and Religious Studies","2010-2011",545,4,3,49,39,255,65,31,34,24,49,20
"990","Physical Sciences","2010-2011",1074,55,38,155,115,533,90,60,53,35,74,47
"991","Psychology","2010-2011",1436,26,107,186,500,3859,219,607,144,537,151,314
"992","Public administration and social service professions.","2010-2011",288,9,14,34,76,653,34,118,38,129,26,61
"993","Social Sciences and History","2010-2011",6220,386,323,766,689,4740,763,837,555,741,615,560
"994","Visual and performing arts.","2010-2011",1702,42,60,169,262,2940,218,280,116,174,154,295
"995","Health Professions and Related Programs","2010-2011",783,21,56,96,412,4162,66,440,72,463,57,267
"996","Business- Management- Marketing- and Related Support Services","2010-2011",10376,681,592,1319,1144,7238,838,800,492,547,609,450
"997","History","2010-2011",1675,5,11,55,53,958,153,96,52,55,105,71
"998","Area- Ethnic- Cultural- Gender- and Group Studies","2010-2011",187,5,12,24,59,431,33,100,39,126,26,56
"999","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","2010-2011",538,2,1,47,33,360,89,102,80,122,33,32
"1000","Liberal arts and sciences- general studies and humanities.","2010-2011",454,7,8,24,56,688,21,72,72,90,54,84
"1001","Parks- Recreation- Leisure and Fitness Studies","2010-2011",1224,18,19,111,99,1249,124,136,138,153,75,86
"1002","Engineering Technologies and Engineering-related Fields","2010-2011",598,9,8,29,12,56,53,14,10,1,38,5
"1003","Mechanics and Repairers","2010-2011",12,1,0,0,0,1,1,0,0,0,1,0
"1004","Transportation and materials moving.","2010-2011",135,6,3,9,0,20,8,2,5,1,17,3
"1005","Theology and religious vocations.","2010-2011",13,0,0,1,1,20,2,0,1,1,1,0
"1006","Legal professions and studies.","2010-2011",15,0,0,0,1,6,2,2,0,0,0,0
"1007","Communications Technologies/Technicians and Support Services","2010-2011",37,0,0,0,4,26,2,4,4,2,1,3
"1008","Agriculture- Agriculture Operations and Related Sciences","2011-2012",1869,18,18,33,69,1723,101,136,47,72,92,108
"1009","Natural Resources and Conservation","2011-2012",769,10,8,27,40,687,50,77,16,22,60,77
"1010","Architecture and Related Services","2011-2012",534,30,33,54,63,418,87,66,26,16,37,31
"1011","Communication- Journalism- and Related Programs","2011-2012",2173,48,106,173,407,4678,256,659,198,450,143,332
"1012","Computer and Information Sciences and Support Services","2011-2012",1229,99,25,220,77,143,143,28,57,26,103,14
"1013","Education","2011-2012",1056,1,10,27,102,3565,52,179,62,156,53,143
"1014","Engineering","2011-2012",7660,753,208,1224,375,1787,822,255,341,133,554,163
"1015","Foreign Languages- Literatures- and Linguistics","2011-2012",675,9,26,58,123,1316,96,285,31,103,48,114
"1016","Family and Consumer Sciences/Human Sciences","2011-2012",432,10,29,42,155,2793,39,217,73,308,25,143
"1017","English language and literature/letters.","2011-2012",1106,7,26,61,169,2267,138,279,76,203,105,192
"1018","Biological and Biomedical Sciences","2011-2012",2797,76,106,924,1047,3362,346,493,199,331,270,321
"1019","Mathematics and Statistics","2011-2012",651,103,75,129,79,414,75,40,35,32,44,21
"1020","Multi/Interdisciplinary Studies","2011-2012",930,25,44,93,189,1738,96,276,94,126,131,196
"1021","Philosophy and Religious Studies","2011-2012",469,4,5,42,31,218,68,33,28,29,37,34
"1022","Physical Sciences","2011-2012",1119,45,32,162,102,547,87,72,47,60,90,55
"1023","Psychology","2011-2012",1421,40,118,200,502,4047,240,647,145,576,122,345
"1024","Public administration and social service professions.","2011-2012",272,5,7,32,80,734,44,122,48,141,27,55
"1025","Social Sciences and History","2011-2012",6280,423,316,754,648,4782,864,840,558,778,596,539
"1026","Visual and performing arts.","2011-2012",1666,37,85,156,246,2759,184,309,115,155,153,250
"1027","Health Professions and Related Programs","2011-2012",803,22,60,145,475,4348,94,539,87,432,48,254
"1028","Business- Management- Marketing- and Related Support Services","2011-2012",10216,809,723,1281,1125,6845,930,730,504,559,604,452
"1029","History","2011-2012",1653,7,8,62,48,940,143,110,47,57,94,77
"1030","Area- Ethnic- Cultural- Gender- and Group Studies","2011-2012",171,5,9,28,66,416,44,98,50,123,18,55
"1031","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","2011-2012",631,0,2,47,31,406,101,102,84,152,47,30
"1032","Liberal arts and sciences- general studies and humanities.","2011-2012",518,8,7,33,57,598,36,99,55,77,55,85
"1033","Parks- Recreation- Leisure and Fitness Studies","2011-2012",1373,18,23,100,105,1195,151,136,154,125,74,91
"1034","Engineering Technologies and Engineering-related Fields","2011-2012",606,9,3,32,6,64,48,14,21,4,39,6
"1035","Mechanics and Repairers","2011-2012",13,4,0,1,0,2,1,0,0,0,0,0
"1036","Transportation and materials moving.","2011-2012",152,5,1,7,3,23,9,1,6,0,22,1
"1037","Theology and religious vocations.","2011-2012",8,0,0,0,0,9,1,0,0,1,0,0
"1038","Legal professions and studies.","2011-2012",20,1,0,4,0,7,3,2,0,2,2,2
