"","CIP_Classificaiton","Year","ID_School","White.Men","Foreign.Men","Foreign.Women","Asian.Islander.Men","Asian.Islander.Women","White.Women","Hispanic.Men","Hispanic.Women","Black.Men","Black.Women","Other.Men","Other.Women"
"11792","Multi/Interdisciplinary Studies","1998-1999","UGA",3,0,0,0,0,19,1,0,2,0,0,0
"11793","Parks- Recreation- Leisure and Fitness Studies","1998-1999","UGA",1,0,0,0,0,0,0,0,0,0,0,0
"11794","Philosophy and Religious Studies","1998-1999","UGA",24,1,0,0,0,11,0,0,1,0,0,0
"11795","Physical Sciences","1998-1999","UGA",27,0,0,0,1,18,0,0,2,0,0,0
"11796","Psychology","1998-1999","UGA",61,1,5,1,3,163,1,0,4,19,0,0
"11797","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1998-1999","UGA",23,0,1,1,0,29,3,0,0,4,0,0
"11798","Public administration and social service professions.","1998-1999","UGA",4,0,1,0,1,59,0,1,0,17,0,0
"11799","Social Sciences and History","1998-1999","UGA",295,5,5,4,6,163,4,3,11,15,0,1
"11800","Visual and performing arts.","1998-1999","UGA",77,1,5,1,6,99,0,3,4,2,0,0
"11801","Health Professions and Related Programs","1998-1999","UGA",29,2,0,4,5,152,0,2,1,9,1,0
"11802","Business- Management- Marketing- and Related Support Services","1998-1999","UGA",579,18,14,22,18,429,5,6,24,46,0,0
"11803","Natural Resources and Conservation","1998-1999","UM",33,1,2,3,3,63,3,1,0,1,2,1
"11804","Architecture and Related Services","1998-1999","UM",39,5,1,3,2,20,2,0,2,4,0,3
"11805","Area- Ethnic- Cultural- Gender- and Group Studies","1998-1999","UM",13,1,1,5,6,46,1,6,1,9,0,5
"11806","Communication- Journalism- and Related Programs","1998-1999","UM",40,1,0,0,3,39,3,7,3,13,1,1
"11807","Computer and Information Sciences and Support Services","1998-1999","UM",26,5,2,13,3,6,1,0,2,1,2,1
"11808","Education","1998-1999","UM",27,0,0,0,3,72,0,2,3,7,1,4
"11809","Engineering","1998-1999","UM",471,59,9,74,39,165,17,3,24,27,25,2
"11810","Foreign Languages- Literatures- and Linguistics","1998-1999","UM",34,0,2,2,5,60,3,7,1,7,4,4
"11811","English language and literature/letters.","1998-1999","UM",98,2,2,10,18,155,5,6,7,28,2,12
"11812","Liberal arts and sciences- general studies and humanities.","1998-1999","UM",50,4,3,9,9,49,3,4,11,11,6,5
"11813","Biological and Biomedical Sciences","1998-1999","UM",117,6,5,47,46,132,5,9,3,21,7,4
"11814","Mathematics and Statistics","1998-1999","UM",28,4,0,3,2,23,2,0,0,1,3,1
"11815","Multi/Interdisciplinary Studies","1998-1999","UM",43,1,3,1,7,96,1,6,2,9,2,7
"11816","Parks- Recreation- Leisure and Fitness Studies","1998-1999","UM",73,1,3,5,4,76,5,2,16,17,1,2
"11817","Philosophy and Religious Studies","1998-1999","UM",22,0,0,2,1,9,1,0,0,1,6,0
"11818","Physical Sciences","1998-1999","UM",36,2,1,3,2,14,1,2,1,0,1,2
"11819","Psychology","1998-1999","UM",103,0,9,17,39,264,4,30,13,31,4,19
"11820","Social Sciences and History","1998-1999","UM",217,22,15,45,29,213,9,16,11,53,15,15
"11821","Visual and performing arts.","1998-1999","UM",115,0,7,11,16,135,4,9,9,7,6,13
"11822","Health Professions and Related Programs","1998-1999","UM",8,0,1,1,11,152,0,3,0,13,0,6
"11823","Business- Management- Marketing- and Related Support Services","1998-1999","UM",131,19,14,25,22,74,4,2,3,10,5,3
"11824","Area- Ethnic- Cultural- Gender- and Group Studies","1998-1999","UNC",28,3,1,2,5,60,3,2,4,12,0,1
"11825","Communication- Journalism- and Related Programs","1998-1999","UNC",123,1,2,3,11,306,2,5,26,40,1,1
"11826","Education","1998-1999","UNC",6,0,0,0,0,45,0,0,0,7,0,0
"11827","Foreign Languages- Literatures- and Linguistics","1998-1999","UNC",13,0,0,0,1,35,0,1,0,3,0,1
"11828","Family and Consumer Sciences/Human Sciences","1998-1999","UNC",0,0,2,0,0,15,0,0,0,0,0,0
"11829","English language and literature/letters.","1998-1999","UNC",59,0,0,2,3,119,2,2,1,9,0,0
"11830","Liberal arts and sciences- general studies and humanities.","1998-1999","UNC",1,1,0,1,0,6,0,1,0,1,0,0
"11831","Biological and Biomedical Sciences","1998-1999","UNC",123,0,1,16,14,151,2,5,9,32,2,2
"11832","Mathematics and Statistics","1998-1999","UNC",47,3,0,4,1,24,2,0,3,6,1,0
"11833","Multi/Interdisciplinary Studies","1998-1999","UNC",4,0,0,0,0,3,0,0,0,0,0,0
"11834","Parks- Recreation- Leisure and Fitness Studies","1998-1999","UNC",37,0,0,2,1,64,0,2,10,17,0,1
"11835","Philosophy and Religious Studies","1998-1999","UNC",21,0,0,0,0,11,0,0,0,0,0,0
"11836","Physical Sciences","1998-1999","UNC",52,1,2,13,9,30,0,0,3,8,0,0
"11837","Psychology","1998-1999","UNC",59,1,1,7,11,221,1,3,12,33,0,1
"11838","Public administration and social service professions.","1998-1999","UNC",9,0,0,0,3,18,0,0,3,3,0,1
"11839","Social Sciences and History","1998-1999","UNC",325,4,0,10,8,219,1,4,19,38,3,2
"11840","Visual and performing arts.","1998-1999","UNC",22,0,0,0,3,49,0,1,1,1,0,0
"11841","Health Professions and Related Programs","1998-1999","UNC",36,0,0,10,19,166,1,3,4,16,0,2
"11842","Business- Management- Marketing- and Related Support Services","1998-1999","UNC",149,3,3,5,11,141,2,2,6,12,0,1
"11843","Natural Resources and Conservation","1998-1999","UOFM",2,0,1,0,0,0,0,0,0,0,0,0
"11844","Architecture and Related Services","1998-1999","UOFM",6,6,2,3,1,6,11,10,1,1,0,0
"11845","Area- Ethnic- Cultural- Gender- and Group Studies","1998-1999","UOFM",1,0,0,0,0,1,0,1,0,0,0,0
"11846","Communication- Journalism- and Related Programs","1998-1999","UOFM",23,4,3,1,2,44,5,34,2,8,0,0
"11847","Computer and Information Sciences and Support Services","1998-1999","UOFM",3,8,1,0,0,2,9,2,3,2,0,0
"11848","Education","1998-1999","UOFM",12,0,1,0,0,19,3,14,0,2,0,0
"11849","Engineering","1998-1999","UOFM",34,38,3,2,2,10,27,11,12,6,0,0
"11850","Foreign Languages- Literatures- and Linguistics","1998-1999","UOFM",1,0,0,0,0,2,2,2,0,1,0,0
"11851","Legal professions and studies.","1998-1999","UOFM",2,0,0,0,0,2,2,1,0,0,0,0
"11852","English language and literature/letters.","1998-1999","UOFM",5,0,0,1,2,21,2,16,1,7,0,0
"11853","Liberal arts and sciences- general studies and humanities.","1998-1999","UOFM",5,0,1,0,1,11,3,4,5,4,0,0
"11854","Biological and Biomedical Sciences","1998-1999","UOFM",39,8,0,12,20,28,26,26,3,14,1,2
"11855","Mathematics and Statistics","1998-1999","UOFM",3,0,2,1,0,1,0,4,0,1,0,0
"11856","Philosophy and Religious Studies","1998-1999","UOFM",0,0,1,0,0,2,3,0,2,0,0,0
"11857","Physical Sciences","1998-1999","UOFM",9,1,2,1,0,10,8,1,0,2,0,0
"11858","Psychology","1998-1999","UOFM",7,0,3,3,5,35,8,39,2,5,0,0
"11859","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1998-1999","UOFM",4,0,1,0,0,10,2,5,0,5,0,0
"11860","Public administration and social service professions.","1998-1999","UOFM",0,0,0,0,0,3,0,0,1,3,0,0
"11861","Social Sciences and History","1998-1999","UOFM",21,2,2,0,3,39,10,22,3,11,0,0
"11862","Visual and performing arts.","1998-1999","UOFM",81,7,1,3,4,43,19,26,2,6,1,1
"11863","Health Professions and Related Programs","1998-1999","UOFM",17,3,4,6,11,52,26,49,1,25,0,1
"11864","Business- Management- Marketing- and Related Support Services","1998-1999","UOFM",104,40,23,4,11,58,42,69,12,20,0,1
"11865","Architecture and Related Services","1998-1999","USC",30,7,7,14,11,3,10,4,1,0,0,0
"11866","Area- Ethnic- Cultural- Gender- and Group Studies","1998-1999","USC",1,0,0,0,4,4,2,1,2,1,1,0
"11867","Communication- Journalism- and Related Programs","1998-1999","USC",53,1,6,8,38,105,6,15,5,11,1,3
"11868","Communications Technologies/Technicians and Support Services","1998-1999","USC",81,7,9,8,3,38,13,9,6,0,2,0
"11869","Computer and Information Sciences and Support Services","1998-1999","USC",16,4,1,3,2,1,6,2,1,0,0,0
"11870","Education","1998-1999","USC",5,0,0,0,8,32,7,18,0,3,0,0
"11871","Engineering","1998-1999","USC",83,48,8,53,16,20,23,5,6,4,3,0
"11872","Foreign Languages- Literatures- and Linguistics","1998-1999","USC",4,1,2,1,11,17,0,8,1,1,0,1
"11873","Family and Consumer Sciences/Human Sciences","1998-1999","USC",4,0,0,7,16,6,2,2,0,1,1,1
"11874","English language and literature/letters.","1998-1999","USC",30,0,0,4,15,27,4,11,2,4,1,1
"11875","Liberal arts and sciences- general studies and humanities.","1998-1999","USC",7,1,0,3,3,13,2,1,3,2,0,1
"11876","Biological and Biomedical Sciences","1998-1999","USC",44,2,1,35,44,42,12,14,2,10,2,2
"11877","Mathematics and Statistics","1998-1999","USC",1,0,0,1,1,1,1,1,0,1,0,0
"11878","Philosophy and Religious Studies","1998-1999","USC",11,1,0,0,2,9,3,1,1,2,0,0
"11879","Physical Sciences","1998-1999","USC",5,4,0,2,6,5,3,2,0,1,1,0
"11880","Psychology","1998-1999","USC",23,1,3,10,15,54,11,21,3,11,1,4
"11881","Public administration and social service professions.","1998-1999","USC",17,0,0,6,4,13,5,11,10,3,0,0
"11882","Social Sciences and History","1998-1999","USC",108,17,20,26,36,68,42,24,15,15,3,6
"11883","Visual and performing arts.","1998-1999","USC",64,7,12,10,19,68,12,11,1,3,3,4
"11884","Health Professions and Related Programs","1998-1999","USC",21,0,0,15,69,87,11,44,3,19,1,2
"11885","Business- Management- Marketing- and Related Support Services","1998-1999","USC",256,103,96,130,127,131,66,36,18,20,13,7
"11886","Architecture and Related Services","1998-1999","UT",24,4,2,1,2,18,3,1,1,1,0,0
"11887","Area- Ethnic- Cultural- Gender- and Group Studies","1998-1999","UT",29,2,0,3,4,34,13,12,3,6,0,0
"11888","Communication- Journalism- and Related Programs","1998-1999","UT",247,11,21,32,36,304,56,58,13,24,0,1
"11889","Computer and Information Sciences and Support Services","1998-1999","UT",120,40,11,52,24,15,14,1,4,5,0,1
"11890","Engineering","1998-1999","UT",348,55,2,114,22,79,63,20,14,12,1,1
"11891","Foreign Languages- Literatures- and Linguistics","1998-1999","UT",61,0,4,2,13,106,10,36,0,3,0,1
"11892","Family and Consumer Sciences/Human Sciences","1998-1999","UT",8,0,2,1,17,87,1,20,0,8,0,1
"11893","English language and literature/letters.","1998-1999","UT",148,0,4,9,14,289,20,44,3,17,1,3
"11894","Liberal arts and sciences- general studies and humanities.","1998-1999","UT",57,0,0,10,12,58,10,9,2,3,0,0
"11895","Biological and Biomedical Sciences","1998-1999","UT",157,3,7,82,64,163,38,41,5,10,0,1
"11896","Mathematics and Statistics","1998-1999","UT",45,6,5,10,6,39,8,9,0,7,0,2
"11897","Multi/Interdisciplinary Studies","1998-1999","UT",24,0,1,1,13,227,14,51,6,8,0,1
"11898","Parks- Recreation- Leisure and Fitness Studies","1998-1999","UT",36,1,0,2,3,36,5,4,3,2,0,0
"11899","Philosophy and Religious Studies","1998-1999","UT",24,0,0,5,2,10,4,0,1,0,0,0
"11900","Physical Sciences","1998-1999","UT",51,2,4,11,1,21,10,3,3,1,0,1
"11901","Psychology","1998-1999","UT",86,0,7,12,43,244,30,49,3,22,1,3
"11902","Public administration and social service professions.","1998-1999","UT",3,0,1,0,5,59,1,14,4,6,0,0
"11903","Social Sciences and History","1998-1999","UT",462,29,17,42,34,313,103,78,13,20,6,0
"11904","Visual and performing arts.","1998-1999","UT",91,1,7,7,9,215,14,30,5,5,0,2
"11905","Health Professions and Related Programs","1998-1999","UT",35,0,4,8,27,214,15,29,1,15,0,0
"11906","Business- Management- Marketing- and Related Support Services","1998-1999","UT",447,24,10,70,91,292,61,74,9,24,4,4
"11907","Agriculture- Agriculture Operations and Related Sciences","1998-1999","UTA.ST",16,0,0,0,0,7,0,0,0,0,0,0
"11908","Agricultural Sciences","1998-1999","UTA.ST",51,2,0,1,0,32,1,0,0,0,2,0
"11909","Natural Resources and Conservation","1998-1999","UTA.ST",48,0,0,0,0,25,0,0,0,0,0,0
"11910","Architecture and Related Services","1998-1999","UTA.ST",20,2,0,0,0,7,0,0,0,0,0,0
"11911","Area- Ethnic- Cultural- Gender- and Group Studies","1998-1999","UTA.ST",3,1,0,0,0,4,0,0,0,0,0,1
"11912","Marketing and Distribution","1998-1999","UTA.ST",3,0,0,0,0,14,0,0,0,0,1,0
"11913","Communication- Journalism- and Related Programs","1998-1999","UTA.ST",14,1,0,0,0,22,4,0,0,0,0,0
"11914","Computer and Information Sciences and Support Services","1998-1999","UTA.ST",74,15,8,0,0,44,1,0,0,0,1,0
"11915","Education","1998-1999","UTA.ST",93,0,1,1,1,341,1,5,0,0,0,4
"11916","Engineering","1998-1999","UTA.ST",157,12,3,0,0,16,0,0,1,0,0,0
"11917","Engineering Technologies and Engineering-related Fields","1998-1999","UTA.ST",27,2,0,0,1,1,0,0,0,0,0,0
"11918","Foreign Languages- Literatures- and Linguistics","1998-1999","UTA.ST",18,0,0,0,0,17,2,1,0,0,0,0
"11919","Family and Consumer Sciences/Human Sciences","1998-1999","UTA.ST",26,0,4,0,0,167,0,2,0,0,0,3
"11920","Legal professions and studies.","1998-1999","UTA.ST",7,0,0,0,0,1,0,0,0,0,0,0
"11921","English language and literature/letters.","1998-1999","UTA.ST",24,0,3,0,1,67,0,0,1,0,0,0
"11922","Liberal arts and sciences- general studies and humanities.","1998-1999","UTA.ST",30,2,1,0,0,37,0,1,0,0,1,0
"11923","Biological and Biomedical Sciences","1998-1999","UTA.ST",11,0,1,0,0,5,0,0,0,0,0,0
"11924","Mathematics and Statistics","1998-1999","UTA.ST",9,3,0,0,0,1,0,0,0,0,0,0
"11925","Multi/Interdisciplinary Studies","1998-1999","UTA.ST",3,0,0,0,0,2,0,0,0,0,0,0
"11926","Parks- Recreation- Leisure and Fitness Studies","1998-1999","UTA.ST",9,0,1,0,0,11,0,0,1,0,0,0
"11927","Philosophy and Religious Studies","1998-1999","UTA.ST",3,0,0,0,0,3,0,0,1,0,0,0
"11928","Physical Sciences","1998-1999","UTA.ST",30,1,0,1,1,7,0,0,0,0,1,0
"11929","Psychology","1998-1999","UTA.ST",39,0,0,0,0,73,0,0,0,0,0,2
"11930","Public administration and social service professions.","1998-1999","UTA.ST",13,0,0,0,0,45,0,4,1,1,1,2
"11931","Social Sciences and History","1998-1999","UTA.ST",98,2,2,1,1,88,3,3,2,2,1,4
"11932","Precision Production Trades","1998-1999","UTA.ST",11,0,0,0,0,0,0,0,0,0,0,0
"11933","Visual and performing arts.","1998-1999","UTA.ST",42,9,4,1,0,73,0,3,1,0,0,1
"11934","Health Professions and Related Programs","1998-1999","UTA.ST",69,0,0,0,1,73,0,1,0,1,0,1
"11935","Business- Management- Marketing- and Related Support Services","1998-1999","UTA.ST",231,30,24,5,4,127,4,2,1,2,2,2
"11936","Area- Ethnic- Cultural- Gender- and Group Studies","1998-1999","VANDY",11,0,0,1,2,5,1,0,0,0,2,1
"11937","Computer and Information Sciences and Support Services","1998-1999","VANDY",22,1,0,0,1,2,0,0,0,0,1,0
"11938","Education","1998-1999","VANDY",8,0,0,1,0,66,0,0,1,0,1,5
"11939","Engineering","1998-1999","VANDY",138,35,7,17,7,50,2,3,11,6,12,6
"11940","Foreign Languages- Literatures- and Linguistics","1998-1999","VANDY",17,0,1,0,1,18,1,2,0,0,0,3
"11941","English language and literature/letters.","1998-1999","VANDY",26,0,0,0,2,29,2,1,1,3,1,2
"11942","Biological and Biomedical Sciences","1998-1999","VANDY",27,0,0,2,2,33,3,1,0,0,2,3
"11943","Mathematics and Statistics","1998-1999","VANDY",9,0,0,2,3,12,0,0,0,0,5,1
"11944","Multi/Interdisciplinary Studies","1998-1999","VANDY",11,0,1,1,0,26,0,0,0,0,2,5
"11945","Philosophy and Religious Studies","1998-1999","VANDY",13,0,0,0,0,3,0,0,0,0,1,1
"11946","Physical Sciences","1998-1999","VANDY",12,1,0,2,4,5,0,0,0,5,1,0
"11947","Psychology","1998-1999","VANDY",25,0,0,0,4,60,0,2,1,4,5,4
"11948","Social Sciences and History","1998-1999","VANDY",239,3,2,11,8,190,4,4,15,7,14,32
"11949","Visual and performing arts.","1998-1999","VANDY",10,0,0,0,1,26,0,0,0,0,0,1
"11950","Agriculture- Agriculture Operations and Related Sciences","1999-2000","AUB",39,0,0,0,0,6,0,0,0,0,1,0
"11951","Agricultural Sciences","1999-2000","AUB",102,0,0,0,0,66,1,0,1,1,0,2
"11952","Natural Resources and Conservation","1999-2000","AUB",57,0,0,0,0,40,0,1,0,0,1,0
"11953","Architecture and Related Services","1999-2000","AUB",44,0,0,2,0,28,1,0,0,1,0,0
"11954","Communication- Journalism- and Related Programs","1999-2000","AUB",49,0,0,0,0,88,0,0,3,8,0,1
"11955","Computer and Information Sciences and Support Services","1999-2000","AUB",22,0,0,1,0,3,0,0,0,1,0,0
"11956","Education","1999-2000","AUB",97,1,0,1,1,354,1,4,9,11,0,2
"11957","Engineering","1999-2000","AUB",453,2,0,8,3,121,10,4,25,11,5,0
"11958","Foreign Languages- Literatures- and Linguistics","1999-2000","AUB",10,0,0,0,1,34,1,1,0,2,0,0
"11959","Family and Consumer Sciences/Human Sciences","1999-2000","AUB",6,0,0,0,0,192,0,1,2,14,0,0
"11960","English language and literature/letters.","1999-2000","AUB",47,0,0,0,0,89,0,0,1,5,0,0
"11961","Biological and Biomedical Sciences","1999-2000","AUB",50,0,0,0,2,105,1,0,0,4,0,1
"11962","Mathematics and Statistics","1999-2000","AUB",10,0,0,0,0,6,0,0,0,3,0,0
"11963","Philosophy and Religious Studies","1999-2000","AUB",14,0,0,0,0,6,0,0,1,0,0,0
"11964","Physical Sciences","1999-2000","AUB",23,0,0,0,0,8,0,0,0,1,0,0
"11965","Psychology","1999-2000","AUB",34,1,0,0,1,85,0,2,2,5,1,0
"11966","Public administration and social service professions.","1999-2000","AUB",15,0,0,0,0,26,0,1,4,4,0,0
"11967","Social Sciences and History","1999-2000","AUB",131,1,1,1,2,92,2,0,10,13,3,0
"11968","Visual and performing arts.","1999-2000","AUB",51,1,0,1,4,76,1,0,1,1,0,1
"11969","Health Professions and Related Programs","1999-2000","AUB",39,0,0,2,6,190,0,2,1,18,0,2
"11970","Business- Management- Marketing- and Related Support Services","1999-2000","AUB",577,6,2,7,6,349,6,1,26,26,4,4
"11971","Area- Ethnic- Cultural- Gender- and Group Studies","1999-2000","BAMA",5,0,0,0,1,5,0,0,0,0,0,0
"11972","Communication- Journalism- and Related Programs","1999-2000","BAMA",85,4,3,0,0,150,0,1,2,11,0,0
"11973","Computer and Information Sciences and Support Services","1999-2000","BAMA",8,1,1,0,1,3,0,0,0,2,0,0
"11974","Education","1999-2000","BAMA",53,3,2,0,0,139,0,0,9,12,0,0
"11975","Engineering","1999-2000","BAMA",128,11,1,1,0,26,0,0,9,4,1,0
"11976","Foreign Languages- Literatures- and Linguistics","1999-2000","BAMA",5,0,1,0,0,11,0,1,2,0,0,0
"11977","Family and Consumer Sciences/Human Sciences","1999-2000","BAMA",20,0,0,1,1,142,0,0,7,28,1,2
"11978","English language and literature/letters.","1999-2000","BAMA",23,1,0,0,0,43,0,0,2,8,1,0
"11979","Biological and Biomedical Sciences","1999-2000","BAMA",39,1,1,0,1,36,1,0,2,3,0,1
"11980","Mathematics and Statistics","1999-2000","BAMA",4,0,0,0,0,1,0,0,2,1,0,0
"11981","Multi/Interdisciplinary Studies","1999-2000","BAMA",46,0,0,0,0,34,0,0,0,2,0,0
"11982","Parks- Recreation- Leisure and Fitness Studies","1999-2000","BAMA",3,0,0,0,0,6,1,0,0,0,0,0
"11983","Philosophy and Religious Studies","1999-2000","BAMA",1,1,0,0,0,5,0,0,0,0,0,0
"11984","Physical Sciences","1999-2000","BAMA",12,1,0,0,0,9,0,1,3,1,0,0
"11985","Psychology","1999-2000","BAMA",26,1,0,0,0,67,0,0,2,17,1,2
"11986","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1999-2000","BAMA",26,1,0,1,2,12,0,0,7,9,0,0
"11987","Public administration and social service professions.","1999-2000","BAMA",0,0,0,0,0,40,0,1,1,4,0,0
"11988","Social Sciences and History","1999-2000","BAMA",84,2,0,0,0,29,2,1,7,7,0,0
"11989","Visual and performing arts.","1999-2000","BAMA",23,0,6,0,0,65,0,0,0,1,1,0
"11990","Health Professions and Related Programs","1999-2000","BAMA",35,2,0,0,0,117,0,1,4,30,1,0
"11991","Business- Management- Marketing- and Related Support Services","1999-2000","BAMA",396,15,8,4,3,229,2,3,29,36,1,4
"11992","Area- Ethnic- Cultural- Gender- and Group Studies","1999-2000","BOS.ST",0,0,0,0,0,1,0,1,0,0,0,1
"11993","Marketing and Distribution","1999-2000","BOS.ST",9,0,0,0,0,4,0,0,0,0,0,0
"11994","Communication- Journalism- and Related Programs","1999-2000","BOS.ST",10,0,1,1,0,39,1,1,2,0,0,2
"11995","Computer and Information Sciences and Support Services","1999-2000","BOS.ST",35,3,2,0,1,20,1,1,0,1,2,1
"11996","Education","1999-2000","BOS.ST",40,1,1,0,1,130,2,7,1,0,0,7
"11997","Engineering","1999-2000","BOS.ST",22,0,0,2,1,5,1,2,1,0,2,0
"11998","Foreign Languages- Literatures- and Linguistics","1999-2000","BOS.ST",9,0,0,0,0,11,1,0,0,0,0,2
"11999","English language and literature/letters.","1999-2000","BOS.ST",13,1,0,0,0,21,0,0,0,0,3,1
"12000","Biological and Biomedical Sciences","1999-2000","BOS.ST",19,0,0,0,1,11,0,0,0,0,0,4
"12001","Mathematics and Statistics","1999-2000","BOS.ST",1,1,0,1,1,1,0,0,0,0,0,0
"12002","Multi/Interdisciplinary Studies","1999-2000","BOS.ST",32,1,3,0,1,18,2,0,0,0,2,0
"12003","Parks- Recreation- Leisure and Fitness Studies","1999-2000","BOS.ST",5,1,0,0,0,13,0,0,1,0,0,2
"12004","Philosophy and Religious Studies","1999-2000","BOS.ST",6,0,0,0,0,6,1,0,0,0,0,0
"12005","Physical Sciences","1999-2000","BOS.ST",11,2,0,0,0,2,0,0,0,0,2,0
"12006","Psychology","1999-2000","BOS.ST",11,1,0,0,1,31,2,2,0,0,1,4
"12007","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1999-2000","BOS.ST",15,0,0,2,0,12,1,3,0,0,2,1
"12008","Public administration and social service professions.","1999-2000","BOS.ST",3,0,1,0,0,23,0,0,0,0,0,3
"12009","Social Sciences and History","1999-2000","BOS.ST",74,2,2,0,3,75,4,5,8,1,4,3
"12010","Construction Trades","1999-2000","BOS.ST",9,0,0,0,1,2,0,0,0,0,1,1
"12011","Visual and performing arts.","1999-2000","BOS.ST",32,0,0,0,0,43,0,1,0,1,2,1
"12012","Health Professions and Related Programs","1999-2000","BOS.ST",35,2,0,2,1,93,1,2,1,1,3,6
"12013","Business- Management- Marketing- and Related Support Services","1999-2000","BOS.ST",114,4,5,2,3,127,3,13,0,0,4,5
"12014","Agriculture- Agriculture Operations and Related Sciences","1999-2000","CLEM",46,0,0,0,0,9,0,0,0,0,1,0
"12015","Agricultural Sciences","1999-2000","CLEM",35,0,0,1,1,44,0,0,1,3,1,1
"12016","Natural Resources and Conservation","1999-2000","CLEM",63,1,0,0,0,10,0,0,0,1,0,0
"12017","Architecture and Related Services","1999-2000","CLEM",79,0,1,0,0,35,1,0,5,1,1,1
"12018","Computer and Information Sciences and Support Services","1999-2000","CLEM",33,1,1,3,0,9,0,0,2,1,2,0
"12019","Education","1999-2000","CLEM",53,0,0,0,0,221,0,1,3,15,1,2
"12020","Engineering","1999-2000","CLEM",257,5,1,7,4,60,1,0,25,18,4,3
"12021","Foreign Languages- Literatures- and Linguistics","1999-2000","CLEM",10,1,1,0,1,21,1,0,1,3,0,0
"12022","English language and literature/letters.","1999-2000","CLEM",34,0,0,0,0,67,1,0,2,10,0,0
"12023","Biological and Biomedical Sciences","1999-2000","CLEM",44,1,0,5,3,56,0,1,6,7,0,1
"12024","Mathematics and Statistics","1999-2000","CLEM",4,1,0,0,0,8,0,0,0,0,1,0
"12025","Parks- Recreation- Leisure and Fitness Studies","1999-2000","CLEM",42,1,1,0,0,55,0,0,1,0,0,0
"12026","Philosophy and Religious Studies","1999-2000","CLEM",4,0,0,0,0,1,0,0,0,0,0,0
"12027","Physical Sciences","1999-2000","CLEM",26,5,0,1,0,9,0,0,4,2,0,0
"12028","Science Technologies","1999-2000","CLEM",15,0,0,0,0,2,0,0,1,1,0,0
"12029","Psychology","1999-2000","CLEM",31,1,0,0,1,95,0,0,0,6,0,1
"12030","Social Sciences and History","1999-2000","CLEM",73,1,1,2,1,54,2,0,6,9,2,1
"12031","Visual and performing arts.","1999-2000","CLEM",28,0,1,1,1,43,0,0,0,4,0,0
"12032","Health Professions and Related Programs","1999-2000","CLEM",11,0,0,0,2,125,0,1,0,8,0,1
"12033","Business- Management- Marketing- and Related Support Services","1999-2000","CLEM",253,7,2,7,0,195,4,0,15,14,4,3
"12034","Natural Resources and Conservation","1999-2000","DUKE",10,0,0,1,4,15,0,1,0,0,2,2
"12035","Area- Ethnic- Cultural- Gender- and Group Studies","1999-2000","DUKE",10,0,2,2,3,17,1,2,0,6,1,2
"12036","Computer and Information Sciences and Support Services","1999-2000","DUKE",36,1,1,3,2,9,3,0,0,0,5,1
"12037","Engineering","1999-2000","DUKE",88,8,3,34,16,26,5,0,3,4,7,5
"12038","Foreign Languages- Literatures- and Linguistics","1999-2000","DUKE",11,1,1,0,1,14,0,1,0,1,2,3
"12039","English language and literature/letters.","1999-2000","DUKE",28,0,0,1,4,50,2,2,1,7,1,10
"12040","Liberal arts and sciences- general studies and humanities.","1999-2000","DUKE",1,2,0,1,1,6,0,0,1,0,0,0
"12041","Biological and Biomedical Sciences","1999-2000","DUKE",48,5,4,12,13,68,1,6,2,2,3,6
"12042","Mathematics and Statistics","1999-2000","DUKE",9,1,1,3,0,6,0,1,1,1,3,0
"12043","Multi/Interdisciplinary Studies","1999-2000","DUKE",0,0,0,0,0,2,0,0,0,0,0,0
"12044","Philosophy and Religious Studies","1999-2000","DUKE",7,0,2,2,0,3,0,0,2,1,0,1
"12045","Physical Sciences","1999-2000","DUKE",21,0,1,7,4,6,2,1,2,2,0,3
"12046","Psychology","1999-2000","DUKE",21,0,4,6,10,79,1,2,3,17,2,3
"12047","Public administration and social service professions.","1999-2000","DUKE",41,2,1,4,5,63,1,2,4,12,5,3
"12048","Social Sciences and History","1999-2000","DUKE",205,6,8,27,21,146,13,11,18,27,28,8
"12049","Visual and performing arts.","1999-2000","DUKE",11,0,1,2,0,13,0,1,0,0,1,1
"12050","Business- Management- Marketing- and Related Support Services","1999-2000","DUKE",1,0,0,0,0,0,0,0,0,0,0,0
"12051","Agriculture- Agriculture Operations and Related Sciences","1999-2000","FLA",45,3,0,1,0,15,5,0,4,3,0,1
"12052","Agricultural Sciences","1999-2000","FLA",83,5,1,3,11,172,16,21,7,5,1,2
"12053","Natural Resources and Conservation","1999-2000","FLA",59,0,3,1,6,58,3,3,3,2,0,0
"12054","Architecture and Related Services","1999-2000","FLA",54,1,0,7,3,25,17,6,3,5,1,0
"12055","Area- Ethnic- Cultural- Gender- and Group Studies","1999-2000","FLA",6,0,0,0,0,2,0,0,0,0,0,0
"12056","Communication- Journalism- and Related Programs","1999-2000","FLA",202,2,2,3,9,332,22,44,15,25,3,1
"12057","Computer and Information Sciences and Support Services","1999-2000","FLA",48,1,0,6,4,9,3,0,3,0,1,0
"12058","Education","1999-2000","FLA",98,0,1,4,7,306,9,39,7,32,0,1
