"","Fund_Type","Fund_Manager","Fund_Name","Fund_Contact","Fund_Contact_Telephone","Fund_Projected_Equity","Fund_Equity_Raised","Fund_Equity_Invested","Fund_Target_IRR","Fund_Minimum_IRR","Fund_Asset_Classes","Fund_Target_Locations","Fund_Data_Date","Fund_Currency"
"568","Opportunity","Keystone Property","Keystone Property Fund 3","Matt Sigel","610-980-7000","$75,000,000 ","$58,800,000 ","$10,000,000 ","20","20","Office, Industrial","United States, Europe, Australia","1/11/12",NA
"569","Opportunity","Kimpton Hotel & Restaurant","KHP Fund 3","Joe Long","415-397-5572","203,000,000","203,000,000","20,000,000","18","0.18","Hotel","United States","3/1/13","USD"
"570","Opportunity","Kimpton Hotel & Restaurant","Khp Fund 2","Joe Long","415-397-5572","$202,000,000 ","$202,000,000 ","$70,000,000 ","18","18","Lodging","Los Angeles","1/11/12",NA
"571","Opportunity","Kimpton Hotel & Restaurant","Khp Fund 3","Joe Long","415-397-5572","$200,000,000 ","$0 ","$0 ","","","Lodging","United States","1/11/12",NA
"572","Opportunity","KSL Capital","KSL Capital Partners 3","Eric Resnick","720-284-6400","2,000,000,000","2,000,000,000","0","16+","0.16","Hotel, Resort, Recreation","United States","3/1/13","USD"
"573","Opportunity","KSL Capital","Ksl Capital Partners Fund 3","Eric Resnick","720-284-6400","$2,000,000,000 ","$2,000,000,000 ","$0 ","16+","16+","Lodging, Resort, Recreation","United States","1/11/12",NA
"574","Opportunity","Landmark Partners","Landmark Real Estate Fund 6","Jamie Sunday","617-556-3918","718,000,000","718,000,000","425,000,000","16-18","0.16","Secondary Stakes","United States","3/1/13","USD"
"575","Opportunity","Landmark Partners","Landmark Real Estate Fund 6","Jamie Sunday","617-556-3918","$718,000,000 ","$718,000,000 ","$290,000,000 ","16-18","16","Secondary Stakes","United States","1/11/12",NA
"576","Opportunity","Landmark Partners","Landmark Real Estate Fund 6","Jamie Sunday","617-556-3918","$750,000,000 ","$570,000,000 ","$130,000,000 ","16-18","16","Secondary Stakes","United States","1/11/11",NA
"577","Opportunity","LaSalle Investment","Lasalle Asia Opportunity Fund 3","Marc Montanus","65-6-494-3547","$3,000,000,000 ","$3,000,000,000 ","$1,200,000,000 ","18","18","Office","United States","1/11/12",NA
"578","Opportunity","LaSalle Investment","Lasalle Japan Logistics Fund 2","Yasuo Nakashima","81-35-501-9342","$1,099,800,000 ","$1,099,800,000 ","$244,489,360 ","18+","18+","Office","India","1/11/11",NA
"579","Opportunity","LimeTree Capital","Emerging Beachfront Land Investment Fund 2","James Goulding","852-2-117-8593","370,000,000","370,000,000","18,000,000","20+","0.2","Land","Asia","3/1/13","USD"
"580","Opportunity","LimeTree Capital","Emerging Beachfront Land Investment Fund 2","James Goulding","852-2-117-8593","$370,000,000 ","$370,000,000 ","$18,000,000 ","20+","20+","Land","Asia","1/11/12",NA
"581","Opportunity","LimeTree Capital","Emerging Beachfront Land Investment Fund 2","James Goulding","852-2-117-8593","$370,000,000 ","$370,000,000 ","$18,000,000 ","20+","20+","Land","China","1/11/11",NA
"582","Opportunity","Lionstone Group","Lionstone U.S. Land Two","Tom Bacon","713-533-5863","250,000,000","100,000,000","0","","0","Land","United States","3/1/13","USD"
"583","Opportunity","Madison International Realty","Madison International Real Estate Liquidity 5","Ronald Dickerman","212-688-8777","750,000,000","250,000,000","100,000,000","20","0.2","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land, Secondary Stakes","United States, Europe, England","3/1/13","USD"
"584","Opportunity","Madison International Realty","Madison International Real Estate Liquidity Fund 4","Ronald Dickerman","212-688-8777","$510,000,000 ","$510,000,000 ","$11,000,000 ","20","20","Office","Germany","1/11/12",NA
"585","Opportunity","Madison International Realty","Madison International Real Estate Liquidity Fund 4","Ronald Dickerman","212-688-8777","$510,000,000 ","$510,000,000 ","$250,000,000 ","","","Office","United States, Australia","1/11/12",NA
"586","Opportunity","Magna Hospitality","Magna Hotel Fund 4","Robert Indeglia","401-886-4484","150,000,000","84,000,000","0","16-20","0.16","Hotel","United States, Canada","3/1/13","USD"
"587","Opportunity","Mariner Real Estate","Mariner Real Estate Partners 3","Ryan Anderson","816-561-3796","300,000,000","100,000,000","100,000,000","17","0.17","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","United States","3/1/13","USD"
"588","Opportunity","Markel-Eagle Partners","Markel-Eagle Partners Fund 2","Will Massey","804-217-6917","55,000,000","55,000,000","10,000,000","16+","0.16","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","United States","3/1/13","USD"
"589","Opportunity","MedProperties Holdings","MedProperties Investment Partners","Darryl Freling","214-661-1000","150,000,000","0","0","20+","0.2","Healthcare","United States, Texas, Southeastern United States","3/1/13","USD"
"590","Opportunity","MedProperties Holdings","Medproperties Capital Partners","Darryl Freling","214-661-1000","$50,000,000 ","$50,000,000 ","$23,000,000 ","20+","20+","Healthcare","United States","1/11/12",NA
"591","Opportunity","Meyer Bergman","Meyer Bergman European Retail Partners 2","Markus Meijer","44-207-355-8300","650,000,000","260,000,000","52,000,000","16","0.16","Retail","Europe","3/1/13","EU"
"592","Opportunity","Meyer Bergman","Meyer Bergman European Retail Partners","Markus Meijer","44-207-355-8300","$427,087,000 ","$427,087,000 ","$277,606,550 ","16","16","Retail","Asia","1/11/12",NA
"593","Opportunity","Meyer Bergman","Meyer Bergman European Retail Partners Fund 2","Markus Meijer","44-207-355-8300","$798,660,000 ","$0 ","$0 ","16","16","Retail","Europe","1/11/12",NA
"594","Opportunity","MGPA","MGPA Asia Fund 3","John Saunders","852-3-162-6000","3,890,000,000","3,890,000,000","2,128,000,000","16+","0.16","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","Asia","3/1/13","USD"
"595","Opportunity","MGPA","MGPA Europe Fund 4","Laurent Luccioni","44-207-591-6630","1,039,000,000","130,000,000","0","15-17","0.15","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","Europe","3/1/13","EU"
"596","Opportunity","MGPA","Mgpa Asia Fund 3","John Saunders","852-3162-6000","$3,890,000,000 ","$3,890,000,000 ","$1,943,000,000 ","16+","16+","Office","Asia","1/11/12",NA
"597","Opportunity","MGPA","Mgpa Europe Fund 4","Laurent Luccioni","44-207-591-6630","$1,064,880,000 ","$133,110,000 ","","15-17","15","Office","Europe","1/11/12",NA
"598","Opportunity","Michigan Avenue Real Estate Investment","Michigan Avenue Real Estate Inv. Opportunity 2","Tom Meador","847-498-6400","50,000,000","30,000,000","15,000,000","20","0.2","Multifamily","Suburban","3/1/13","USD"
"599","Opportunity","Moonbridge Capital","Moonbridge Capital Greater China Development","Pius Ho","852-2293-2193","400,000,000","0","0","18-20","0.18","Office, Residential","China","3/1/13","USD"
"600","Opportunity","Morgan Stanley","O. de Poulipiquet","J. Klopp","212-761-8999","4,000,000,000","4,000,000,000","2,450,000,000","20","0.2","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","United States, Europe, Asia","3/1/13","GBP"
"601","Opportunity","Morgan Stanley","Morgan Stanley Real Estate Fund 7 Global","John Klopp, Oliver De Poulipiquet","212-761-8999","$4,700,000,000 ","$4,700,000,000 ","$940,000,000 ","20","20","Office, Multifamily, Retail","United States, International","1/11/12",NA
"602","Opportunity","Morgan Stanley","Morgan Stanley Real Estate Fund 7 Global","Oliver De Poulipiquet, John Klopp","212-761-8999","$4,000,000,000 ","$4,000,000,000 ","$1,900,000,000 ","","","Office, Retail","United States, Europe","1/11/12",NA
"603","Opportunity","Morgan Stanley","Unnamed Vehicle","Oliver De Poulipiquet, John Klopp","212-761-8999","$1,000,000,000 ","$0 ","$0 ","16+","16+","Office, Retail","United States","1/11/12",NA
"604","Opportunity","Mountgrange","Mountgrange Real Estate Opportunity Fund","Sian Morgan","44-207-494-7627","451,000,000","451,000,000","285,000,000","16+","0.16","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","England","3/1/13","USD"
"605","Opportunity","Nan Fung China, InfraRed Capital","InfraRed NF China Real Estate Fund 2","Stuart Jackson","852-2521-5389","500,000,000","75,000,000","0","17","0.17","Office, Retail","China","3/1/13","USD"
"606","Opportunity","Niam AB","Niam Nordic 5","Fredrik Jonsson","46-70-844-3023","934,000,000","934,000,000","206,000,000","15-18","0.15","Office, Retail, Industrial","Europe","3/1/13","EU"
"607","Opportunity","Niam AB","Niam Nordic 5","Fredrik Jonsson","46-70-844-3023","$798,660,000 ","$598,995,000 ","$121,178,758 ","15-18","15","Office","Europe","1/11/12",NA
"608","Opportunity","Niam AB","Niam Nordic Fund 5","Fredrik Jonsson","46-70-844-3023","$826,620,000 ","$171,995,334 ","","15-18","15","Office","United States","1/11/11",NA
"609","Opportunity","Noble Investment","Noble Hospitality Fund 2","Rodney Williams","404-262-9660","200,000,000","105,000,000","15,000,000","16+","0.16","Hotel","United States","3/1/13","USD"
"610","Opportunity","Noble Investment","Noble Hospitality Fund 2","Rodney Williams","404-262-9660","$200,000,000 ","$35,000,000 ","$0 ","16+","16+","Lodging","United States","1/11/12",NA
"611","Opportunity","Northland Investment","Northland Fund 4","Steven Rosenthal","617-965-7100","100,000,000","35,000,000","0","16-18","0.16","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","United States","3/1/13","USD"
"612","Opportunity","Northland Investment","Northland Fund 4","Steven Rosenthal","617-965-7100","$100,000,000 ","$30,000,000 ","","16-18","16","Office","United States","1/11/11",NA
"613","Opportunity","Northland Investment","Northland Fund 4","Steven Rosenthal","617-965-7100","$100,000,000 ","$30,000,000 ","","16-18","16","Office","United States","1/11/12",NA
"614","Opportunity","Northwood Investors","Northwood Real Estate Partners","John Kukral","212-573-0800","2,815,000,000","2,815,000,000","1,885,000,000","20","0.2","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","United States","3/1/13","USD"
"615","Opportunity","Northwood Investors","Northwood Real Estate Partners","John Kukral","212-573-0800","$2,310,000,000 ","$2,310,000,000 ","$1,300,000,000 ","","","Office","United States","1/11/12",NA
"616","Opportunity","Northwood Investors","Northwood Real Estate Partners","Erwin Aulis","212-573-0800","$750,000,000 ","$750,000,000 ","$60,000,000 ","20","20","Office","Asia","1/11/12",NA
"617","Opportunity","Oaktree Capital","Oaktree Real Estate Opportunities Fund 6","John Brady","213-830-6300","1,500,000,000","436,000,000","262,000,000","18","0.18","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","Global","3/1/13","USD"
"618","Opportunity","Oaktree Capital","Ocm Real Estate Opportunities Fund 4","John Brady","213-830-6300","$451,000,000 ","$451,000,000 ","$225,000,000 ","18","18","Office","China","1/11/12",NA
"619","Opportunity","Oaktree Capital","Ocm Real Estate Opportunities Fund 5","John Brady","213-830-6300","$1,000,000,000 ","","","18","18","Office","United States","1/11/12",NA
"620","Opportunity","Oaktree Capital","Ocm Real Estate Opportunities Fund 5","John Brady","213-830-6300","$1,025,000,000 ","$1,025,000,000 ","$784,000,000 ","","","Office","United States","1/11/12",NA
"621","Opportunity","Och-Ziff Capital","Och-Ziff Real Estate Fund 2","Steven Orbuch","212-790-0105","840,000,000","840,000,000","575,000,000","16","0.16","Hotel, Multifamily, Casino, Land","United States","3/1/13","USD"
"622","Opportunity","Och-Ziff Capital","Och-ziff Real Estate Fund 2","Steven Orbuch","212-790-0105","$750,000,000 ","$652,000,000 ","$65,000,000 ","17","17","Lodging, Gaming","United States","1/11/12",NA
"623","Opportunity","Och-Ziff Capital","Och-ziff Real Estate Fund 2","Steven Orbuch","212-790-0105","$840,000,000 ","$840,000,000 ","$275,000,000 ","16","16","Lodging, Gaming","United States","1/11/12",NA
"624","Opportunity","Onyx Equities","Phalanx Fund 3","John Saraceno, John Schultz","732-362-8800","60,000,000","0","0","16+","0.16","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","New York City, Tri-State Area","3/1/13","USD"
"625","Opportunity","Origin Capital","Origin Capital Fund 2","David Scherer","312-204-9940","100,000,000","0","0","15-18","0.15","Office, Retail, Multifamily, Residential, Industrial","United States","3/1/13","USD"
"626","Opportunity","Orion Capital Managers","Orion European Real Estate Fund 4","Van Stults","33-15-396-5070","1,689,000,000","630,000,000","0","17","0.17","Office, Retail, Multifamily, Niche","Europe","3/1/13","EU"
"627","Opportunity","Orion Capital Managers","Orion European Real Estate Fund 3","Van Stults","33-15-396-5070","$1,703,808,000 ","$1,703,808,000 ","$1,107,028,326 ","","","Office","Europe","1/11/12",NA
"628","Opportunity","Orion Capital Managers","Orion European Real Estate Fund 3","Van Stults","33-15-396-5070","$1,763,456,000 ","$1,763,456,000 ","$556,774,282 ","17","17","Office, Retail","United States, Caribbean","1/11/12",NA
"629","Opportunity","Paladin Realty","Paladin Realty Latin America Investors 4","Frederick Gortner","310-996-8762","400,000,000","76,000,000","0","20+","0.2","Residential, Office, Distressed","Latin America","3/1/13","USD"
"630","Opportunity","Paladin Realty","Paladin Realty Latin America Investors 4","Frederick Gortner","310-996-8762","$400,000,000 ","$0 ","$0 ","20+","20+","Multifamily, Distressed","Latin America, Mexico","1/11/12",NA
"631","Opportunity","Paladin Realty","Paladin Realty Brazil Investors Fund 3","Frederick Gortner","310-996-8762","$100,000,000 ","$25,000,000 ","$25,000,000 ","20","20","Multifamily","Asia","1/11/12",NA
"632","Opportunity","Paladin Realty","Paladin Realty Latin America Investors Fund 3","Frederick Gortner","310-996-8762","$454,000,000 ","$454,000,000 ","$272,000,000 ","20","20","Multifamily","China","1/11/12",NA
"633","Opportunity","Pamfleet International","Pamfleet Real Estate Fund","Allan Lee","852-2-545-5829","209,000,000","209,000,000","90,000,000","17-20","0.17","Office, Retail","Hong Kong, Singapore","3/1/13","USD"
"634","Opportunity","Pamfleet International","Pamfleet Real Estate Fund","Allan Lee","852-2-545-5829","$230,000,000 ","$230,000,000 ","$23,000,000 ","17-20","17","Office, Retail","Hong Kong, Singapore","1/11/12",NA
"635","Opportunity","Pamfleet International","Pamfleet Real Estate Fund","Allan Lee","852-2-545-5829","$330,000,000 ","$125,000,000 ","","17-20","17","Office, Retail","United States, Canada, Brazil","1/11/11",NA
"636","Opportunity","Parmenter Realty","Parmenter Realty Fund 4","Andrew Weiss","305-379-7496","253,000,000","253,000,000","127,000,000","20","0.2","Office","Southwestern United States","3/1/13","USD"
"637","Opportunity","Parmenter Realty","Parmenter Realty Fund 4","Andrew Weiss","305-379-7496","$500,000,000 ","","","20","20","Office","Germany","1/11/12",NA
"638","Opportunity","Parmenter Realty","Parmenter Realty Fund 4","Andrew Weiss","305-379-7496","$500,000,000 ","$150,000,000 ","$60,000,000 ","","","Office","Southwestern United States","1/11/12",NA
"639","Opportunity","Pathfinder Partners","Pathfinder Partners Opportunity Fund 4","Lorne Polger, Mitch Siegler","800-494-8211","150,000,000","0","0","20","0.2","Multifamily, Distressed, Mortgages","Western United States","3/1/13","USD"
"640","Opportunity","Pathfinder Partners","Pathfinder Partners Opportunity Fund 3","Lorne Polger, Mitch Siegler","800-494-8211","$50,000,000 ","$25,000,000 ","$20,000,000 ","17","17","Multifamily, Office, Retail, Industrial, Lodging, Multifamily","Western United States, Seattle, San Francisco, Los Angeles, San Diego, Southwestern United States","1/11/12",NA
"641","Opportunity","Patria Investimentos","Patria Brazil Real Estate Fund 2","Olimpio Matarazzo-Neto","55-113-039-9000","569,000,000","569,000,000","190,000,000","25","0.25","Office, Industrial, Retail","Brazil","3/1/13","USD"
"642","Opportunity","Patria Investimentos","Patria Brazil Real Estate Fund 2","Olimpio Matarazzo-neto","55-113-039-9000","$569,000,000 ","$569,000,000 ","$0 ","","","Office","Brazil","1/11/12",NA
"643","Opportunity","Patria Investimentos","Patria Brazil Real Estate Fund 2","Olimpio Matarazzo-neto","55-11-3039-9000","$400,000,000 ","$397,000,000 ","","25","25","Office","China","1/11/12",NA
"644","Opportunity","Patria Investimentos","Patria Brazil Retail Property Fund","Olimpio Matarazzo-Neto","55-113-039-9000","107,000,000","0","0","","0","Retail","Brazil","3/1/13","USD"
"645","Opportunity","Patron Capital","Patron Capital Fund 4 (‰âÂ)","Keith Greslauer","44-207-629-9417","1,143,000,000","1,143,000,000","171,000,000","17-22","0.17","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","Europe","3/1/13","USD"
"646","Opportunity","Patron Capital","Patron Capital Fund 4","Keith Greslauer","44-207-629-9417","$1,033,275,000 ","","","20","20","Office","United States","1/11/12",NA
"647","Opportunity","Patron Capital","Patron Capital Fund 4","Keith Greslauer","44-207-629-9417","$998,325,000 ","$0 ","$0 ","20","20","Office","Europe","1/11/12",NA
"648","Opportunity","Paulson & Co.","Paulson Real Estate Fund 2","Stephanie Schulman","212-599-6329","350,000,000","0","0","16+","0.16","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","United States","3/1/13","USD"
"649","Opportunity","PCCP","PCCP Equity 6","K.C. Boback","646-308-2102","500,000,000","200,000,000","100,000,000","15-18","0.15","Distressed, Mortgages, Bridge Loans, Mezzanine Loans","United States","3/1/13","USD"
"650","Opportunity","PCCP","Pccp Equity 6","William Lindsay","310-414-7868","$500,000,000 ","$125,000,000 ","$0 ","15-18","15","Distressed","United States","1/11/12",NA
"651","Opportunity","Perella Weinberg Partners","Perella Weinberg Real Estate Fund 2","Tarek Abdel-Meguid","212-287-3301","1,559,000,000","779,000,000","0","20","0.2","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","Europe","3/1/13","EU"
"652","Opportunity","Perella Weinberg Partners","Perella Weinberg Real Estate Fund 2","Tarek Abdel-meguid","212-287-3301","$1,597,320,000 ","$0 ","$0 ","","","Office","Europe","1/11/12",NA
"653","Opportunity","Perella Weinberg Partners","Perella Weinberg Real Estate Fund 1","Tarek Abdel-meguid","212-287-3301","$1,557,387,000 ","$1,557,387,000 ","$1,121,156,886 ","","","Office","Europe","1/11/12",NA
"654","Opportunity","Perella Weinberg Partners","Perella Weinberg Real Estate Fund 1","Tarek Abdel-meguid","212-287-3301","$1,611,909,000 ","$1,611,909,000 ","$79,524,922 ","20","20","Office, Multifamily","Southeastern United States, Southwestern United States","1/11/12",NA
"655","Opportunity","Phillips Edison & Co.","Phillips Edison Strategic Investment Fund 2","David Birdsall","503-702-4391","57,000,000","57,000,000","11,000,000","15-18","0.15","Retail","United States","3/1/13","USD"
"656","Opportunity","Phillips Edison & Co.","Phillips Edison Strategic Investment Fund 2","David Birdsall","503-702-4391","$100,000,000 ","$25,000,000 ","","15-18","15","Retail","Brazil","1/11/11",NA
"657","Opportunity","Phillips Edison & Co.","Phillips Edison Strategic Investment Fund 2","David Birdsall","503-702-4391","$57,000,000 ","$57,000,000 ","$11,400,000 ","15-18","15","Retail","United States","1/11/12",NA
"658","Opportunity","Phoenix Capital","Phoenix Capital Realty Fund 5","Andrew Scott","972-866-7577","100,000,000","0","0","17","0.17","Multifamily","United States","3/1/13","USD"
"659","Opportunity","Phoenix Capital","Champion 2012 Partners","Andrew Scott","972-866-7577","$100,000,000 ","$40,000,000 ","$0 ","17","17","Multifamily","United States","1/11/12",NA
"660","Opportunity","Phoenix Capital","Phoenix Partners Fund 1","Andrew Scott","972-866-7577","$150,000,000 ","","","16","16","Office","Washington D.C.","1/11/12",NA
"661","Opportunity","Prescott Group","Prescott Net Lease Properties","Susan Stupin","212-956-2100","250,000,000","50,000,000","20,000,000","15-18","0.15","Office, Industrial","United States","3/1/13","USD"
"662","Opportunity","Prescott Group","Prescott Net Lease Properties","Susan Stupin","212-956-2100","$200,000,000 ","$50,000,000 ","$20,000,000 ","15-18","15","Office","United States","1/11/11",NA
"663","Opportunity","Prescott Group","Prescott Net Lease Properties","Susan Stupin","212-956-2100","$250,000,000 ","$50,000,000 ","$20,000,000 ","15-18","15","Office","United States","1/11/12",NA
"664","Opportunity","PRP Real Estate Investment","PRP 3","Paul Dougherty","202-741-8402","300,000,000","0","0","16+","0.16","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","United States","3/1/13","USD"
"665","Opportunity","Prudential Real Estate Investors","PLA Industrial Fund 4","Roberto Ordorica","305-379-7806","350,000,000","0","0","15-18","0.15","Industrial","Brazil","3/1/13","USD"
"666","Opportunity","Prudential Real Estate Investors","Pla Industrial Fund 4","Roberto Ordorica","305-379-7806","$350,000,000 ","","","15-18","15","Industrial","United States","1/11/11",NA
"667","Opportunity","Prudential Real Estate Investors","Pla Industrial Fund 4","Roberto Ordorica","305-379-7806","$350,000,000 ","$0 ","$0 ","15-18","15","Industrial","Brazil","1/11/12",NA
"668","Opportunity","Prudential Real Estate Investors","Preco 4","Gary Kaufmann","973-734-1300","$416,500,000 ","$416,500,000 ","$180,000,000 ","16","16","Office, Retail","Europe","1/11/12",NA
"669","Opportunity","Quadras","Futuro Inmobiliario (COL$)","Dorothea Bickenbach","57-315-865-6548","55,000,000","33,000,000","0","18","0.18","Land, Multifamily, Retail, Industrial","Colombia","3/1/13","USD"
"670","Opportunity","RCG Ventures","RCG Ventures Value-Add Real Estate Fund","Michael McMillen","404-816-5454","100,000,000","0","0","20","0.2","Retail","United States","3/1/13","USD"
"671","Opportunity","RCG Ventures","Rcg Distressed Real Estate Opportunity Fund","Michael Mcmillen","404-816-5454","$51,100,000 ","$51,100,000 ","$10,000,000 ","20+","20+","Retail","Chicago","1/11/11",NA
"672","Opportunity","RCG Ventures","Rcg Distressed Real Estate Opportunity Fund","Michael Mcmillen","404-816-5454","$51,100,000 ","$51,100,000 ","$26,000,000 ","20+","20+","Retail","United States","1/11/12",NA
"673","Opportunity","Real Estate Capital Partners","RECAP Metropolitan Opportunity Fund","Karin Shewer","212-843-6100","80,000,000","80,000,000","45,000,000","16+","0.16","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","United States","3/1/13","USD"
"674","Opportunity","Realterm Global, Everstone Capital","IndoSpace Logistics Parks 2","Peter Lesburg","443-321-3535","350,000,000","0","0","20","0.2","Industrial","India","3/1/13","USD"
"675","Opportunity","Realterm Global, Everstone Capital","Indospace Logistics Parks Limited","Mitchell Gordon","410-280-1100","$250,000,000 ","$250,000,000 ","$75,000,000 ","","","Industrial","India","1/11/12",NA
"676","Opportunity","Realterm Global, Everstone Capital","Indospace Logistics Parks Limited","Mitchell Gordon","410-280-1100","$250,000,000 ","$250,000,000 ","$75,000,000 ","20","20","Industrial","Europe","1/11/12",NA
"677","Opportunity","Red Fort Capital","Red Fort India Real Estate Fund 3","Parry Singh","91-981-887-1133","500,000,000","0","0","20","0.2","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","India","3/1/13","USD"
"678","Opportunity","Red Fort Capital","Red Fort India Real Estate Fund 2","Parry Singh","91-981-887-1133","$375,000,000 ","","","20+","20+","Multifamily","United States","1/11/11",NA
"679","Opportunity","Red Fort Capital","Red Fort India Real Estate Fund 2","Parry Singh","91-981-887-1133","$500,000,000 ","$500,000,000 ","$0 ","20+","20+","Multifamily","India","1/11/12",NA
"680","Opportunity","Related Cos.","Related Real Estate Recovery Fund","Justin Metz","212-801-3392","825,000,000","825,000,000","436,000,000","18","0.18","Distressed, Mortgages, Bridge Loans, Mezzanine Loans","United States","3/1/13","USD"
"681","Opportunity","Related Cos.","Related Real Estate Recovery Fund","Justin Metz","212-801-3392","$1,250,000,000 ","$170,000,000 ","","18","18","Distressed","Eastern United States","1/11/12",NA
"682","Opportunity","Related Cos.","Related Real Estate Recovery Fund","Justin Metz","212-801-3392","$825,000,000 ","$825,000,000 ","$206,000,000 ","18","18","Distressed","United States","1/11/12",NA
"683","Opportunity","Resolution Property","Resolution Real Estate Fund 4","Robert Laurence","44-207-518-8383","977,000,000","0","0","16+","0.16","Office, Retail","Europe","3/1/13","GBP"
"684","Opportunity","Resolution Property","Resolution Real Estate Fund 3","Robert Laurence","44-207-518-8383","$1,064,880,000 ","$1,064,880,000 ","$533,980,328 ","","","Office","England","1/11/12",NA
"685","Opportunity","Resolution Property","Resolution Real Estate Fund 3","Robert Laurence","44-207-518-8383","$1,102,160,000 ","$1,102,160,000 ","$552,674,253 ","16","16","Office","Europe","1/11/12",NA
"686","Opportunity","Rexford Industrial","Rexford Industrial Fund 5","Michael Frankel","310-966-3814","127,000,000","127,000,000","40,000,000","18","0.18","Industrial","Southern California","3/1/13","USD"
"687","Opportunity","Rexford Industrial","Rexford Industrial Fund 5","Michael Frankel","310-966-3814","$150,000,000 ","$75,000,000 ","$40,000,000 ","18","18","Industrial","Southern California","1/11/12",NA
"688","Opportunity","Rexford Industrial","Rexford Industrial Fund 5","Michael Frankel","310-966-3814","$250,000,000 ","$40,000,000 ","$12,000,000 ","18","18","Industrial","Northeastern United States, Eastern United States","1/11/12",NA
"689","Opportunity","Rialto Capital","Rialto Real Estate Fund","Jeffrey Krasnoff","305-485-2065","$750,000,000 ","$300,000,000 ","","","","Multifamily","United States","1/11/12",NA
"690","Opportunity","Rialto Capital","Rialto Residential Opportunity Fund","Jeffrey Krasnoff","305-485-2065","$750,000,000 ","$300,000,000 ","","20","20","Multifamily","United States","1/11/12",NA
"691","Opportunity","Rockbridge","Rockbridge Hospitality Fund 6","Adam Valente","614-246-2446","350,000,000","0","0","16-18","0.16","Preferred Equity, Mezzanine Loans, B Notes, Recapitalization","United States","3/1/13","USD"
"692","Opportunity","Savanna Investment","Savanna Real Estate Fund 2-A","K. Chisholm, C. Schlank","212-229-0101","250,000,000","127,000,000","0","15-17","0.15","Office, Residential, Retail","Eastern United States","3/1/13","USD"
"693","Opportunity","Savanna Investment","Savanna Real Estate Fund 2","Kevin Chisholm, Chris Schlank","212-229-0101","$550,000,000 ","$550,000,000 ","$330,000,000 ","15-17","15","Office, Retail","Northeastern United States, Boston","1/11/12",NA
"694","Opportunity","SC Management","Real Estate Capital Asia Partners 3","Suchad Chiaranussati","65-6-887-5800","530,000,000","530,000,000","69,000,000","16-20","0.16","Office, Hotel, Industrial, Multifamily, Debt, Niche, Land","Asia","3/1/13","USD"
"695","Opportunity","Secured Capital Japan","Secured Capital Real Estate Partners 5","Phi Le","81-35-776-1300","1,000,000,000","195,000,000","60,000,000","20","0.2","Office, Hotel, Retail, Industrial, Multifamily, Niche, Distressed, Mortgages","Japan, China","3/1/13","USD"
"696","Opportunity","Secured Capital Japan","Secured Capital Real Estate Partners 5","Phi Le","81-35-776-1300","$1,000,000,000 ","$0 ","$0 ","20","20","Office","Japan","1/11/12",NA
"697","Opportunity","Secured Capital Japan","Secured Capital Japan Real Estate Partners 4","Phi Le","81-35-776-1300","$525,000,000 ","$525,000,000 ","$340,000,000 ","20","20","Office","United States","1/11/12",NA
"698","Opportunity","Siguler Guff","Siguler Guff Distressed Real Estate Opp. 2","James Corl","212-634-5944","750,000,000","0","0","17+","0.17","Distressed, Mortgages, Preferred Equity, Multifamily","Global","3/1/13","USD"
"699","Opportunity","Siguler Guff","Siguler Guff Distressed Real Estate Opportunity Fund","James Corl","212-634-5944","$630,000,000 ","$630,000,000 ","$320,000,000 ","20+","20+","Distressed","United States, Asia","1/11/12",NA
"700","Opportunity","Siguler Guff","Siguler Guff Distressed Real Estate Opportunity Fund","James Corl","212-634-5944","$750,000,000 ","$200,000,000 ","$150,000,000 ","20+","20+","Mortgages, Mezzanine Loans","India","1/11/11",NA
"701","Opportunity","Singerman Real Estate","Singerman Real Estate Opportunity Fund 1","Seth Singerman","312-543-8599","100,000,000","30,000,000","0","18","0.18","Distressed, Mortgages, Bridge Loans, Mezzanine Loans","United States","3/1/13","USD"
"702","Opportunity","Singerman Real Estate","Singerman Real Estate Opportunity Fund 1","Seth Singerman","312-543-8599","$100,000,000 ","$30,300,000 ","","18","18","Distressed","United States","1/11/12",NA
"703","Opportunity","Singerman Real Estate","Singerman Opportunity Fund 1","Seth Singerman","312-543-8599","$150,000,000 ","","","18","18","Distressed","California","1/11/12",NA
