"","year","cip_family","cipfamilytitle","total","males","females","males_white","females_white","males_black","females_black"
"750",2012,23,"English language and literature/letters.",68,22,46,14,35,1,2
"751",2012,16,"Foreign Languages- Literatures- and Linguistics",24,5,19,0,14,0,0
"752",2012,51,"Health Professions and Related Programs",77,18,59,15,43,1,2
"753",2012,54,"History",41,23,18,17,15,0,1
"754",2012,19,"Family and Consumer Sciences/Human Sciences",313,22,291,18,240,1,11
"755",2012,24,"Liberal arts and sciences- general studies and humanities.",109,53,56,43,40,3,7
"756",2012,27,"Mathematics and Statistics",10,6,4,5,4,0,0
"757",2012,3,"Natural Resources and Conservation",14,9,5,7,4,0,0
"758",2012,31,"Parks- Recreation- Leisure and Fitness Studies",22,4,18,3,12,0,1
"759",2012,38,"Philosophy and Religious Studies",14,12,2,10,1,0,0
"760",2012,40,"Physical Sciences",38,31,7,25,4,0,0
"761",2012,42,"Psychology",120,26,94,14,72,2,4
"762",2012,43,"Homeland Security- Law Enforcement- Firefighting- and Related Protective Service",45,41,4,34,3,0,0
"763",2012,45,"Social Sciences and History",167,86,81,63,54,7,8
"764",2012,49,"Transportation and materials moving.",67,59,8,47,8,4,0
"765",2012,50,"Visual and performing arts.",76,27,49,20,37,2,1
