Date,Season,Details
2/26/2003,2002-2003,The NBA suspended Eduardo Najera (Dal) for 1 game for contact with a ref during Tuesday's Dal-Orl game.
2/26/2003,2002-2003,Indiana suspended Ron Artest for 1 game for disciplinary reasons.
2/27/2003,2002-2003,Boston suspended indefinitely Vin Baker so that he could attend to personal problems.
3/7/2003,2002-2003,"The NBA fined Nate McMillan (Sea) $7,500 and fined Jeromes James (Sea) $5,000 for their comments about the officiating following Wednesday's Sea-Uta game."
3/9/2003,2002-2003,The NBA suspended Ron Artest (Ind) for 1 game after Artest collected his 6th flagrant foul point.
3/11/2003,2002-2003,Portland suspended Bonzi Wells for 1 game for conduct detrimental to the team.
3/11/2003,2002-2003,"The NBA fined Larry Brown (Phi) $7,500 and fined Allen Iverson (Phi) $7,500 for criticizing a ref following Sunday's Phi-LAL game."
3/13/2003,2002-2003,The NBA suspended Ron Artest (Ind) for 1 game for his flagrant foul during Wednesday's Ind-Phi game. Artest has exceeded the maximum number of flagrant foul points allowed and will be suspended for 1 game for each flagrant foul point he earns the rest of the regular season.
3/20/2003,2002-2003,The NBA suspended Ron Artest (Ind) for 2 games for accumulating 8 flagrant foul points. Every flagrant foul he receives for the rest of the regular season will now result in a 2 game suspension.
3/27/2003,2002-2003,Seattle suspended Joseph Forte for 1 game for conduct detrimental to the team.
4/3/2003,2002-2003,"The NBA fined Ron Artest (Ind) $20,000 for his obscene gesture to the crowd during Wednesday's Ind-Cle game."
4/3/2003,2002-2003,"Portland fined Zach Randolph $100,000 and suspended him for 2 games for throwing a punch at teammate Ruben Patterson during practice."
4/12/2003,2002-2003,Golden State suspended Danny Fortson for the last 4 games of the season for conduct detrimental to the team.
4/15/2003,2002-2003,The NBA suspended Rashard Lewis (Sea) for 1 game for throwing his mouth piece at the ref following his ejection in Monday's Sea-Dal game.
4/15/2003,2002-2003,The NBA suspended Troy Murphy (GS) and Sean Rooks (LAC) for 1 game for their fight during Monday's LAC-GS game.
4/20/2003,2002-2003,The NBA suspended Kevin Willis (SA) for 1 game for his flagrant foul on Scott Williams (Pho) during Saturday's SA-Pho game.
4/21/2003,2002-2003,Utah suspended DeShawn Stevenson for conduct detrimental to the team.
4/24/2003,2002-2003,"The NBA fined Robert Horry (LAL) $10,000 for shoving a camera man during Thursday's LAL-Min game."
4/28/2003,2002-2003,"The NBA fined Rasheed Wallace (Por) $10,000 for failing to cooperate with the media after Sunday's Por-Dal game and $20,000 for not participating in Monday's media access period. Portland was also fined $50,000 for not ensuring that Wallace complied with the NBA media interview rules for the 2 days."
4/28/2003,2002-2003,"The NBA fined Bobby Jackson (Sac) $7,500 for criticizing the refs following Saturday's Sac-Uta game."
5/13/2003,2002-2003,"The NBA fined Raja Bell (Dal) $7,500 for verbally abusing the ref following his ejection during Sunday's Dal-Sac game."
5/13/2003,2002-2003,"The NBA fined Dirk Nowitzki (Dal) $5,000 for improper behavior when he kicked a pile of towels which scattered into the first few baseline seats during Sunday's Dal-Sac game."
7/3/2003,2003-2004,The NBA suspended Glenn Robinson (Atl) for the 1st 3 games of the regular season for his conviction of domestic battery and assault against his ex-fiancee.
7/7/2003,2003-2004,"Portland fined Damon Stoudamire $250,000 and suspended him after he was arrested at an airport in Arizona for possession of a small amount of marijuana. It was the 3rd marijuana legal incident involving Stoudamire in the last year."
10/16/2003,2003-2004,Houston indefinitely suspended Eddie Griffin after Griffin missed a practice. Griffin had previously missed the team flight to Sacramento on Monday.
10/22/2003,2003-2004,The NBA suspended Jason Richardson (GS) for the first 3 games of the season for his conviction this summer of misdemeanor domestic violence.
10/27/2003,2003-2004,Houston placed Eddie Griffin on the suspended list.
11/2/2003,2003-2004,The NBA suspended Jason Terry (Atl) for 1 game for the elbow he threw at Anthony Johnson (Ind) during Saturday's Atl-Ind game.
11/4/2003,2003-2004,The NBA suspended Gregg Popovich (SA) for 1 game for bumping a ref during Monday's SA-Mem game.
11/4/2003,2003-2004,"The NBA fined Kevin Garnett (Min) $5,000 for throwing a basketball into the the stands after his ejection during Monday's Min-Uta game."
11/4/2003,2003-2004,Portland fined Bonzi Wells for flipping off a fan during Monday's Phi-Por game.
11/7/2003,2003-2004,"The NBA suspended Maurice Taylor for at least 10 games for violating the NBA's substance abuse policy. It is the 3rd drug related suspension for Taylor, with the 1st 2 suspensions being for marijuana use."
11/15/2003,2003-2004,"The NBA fined Jermaine O'Neal (Ind) $5,000 for criticizing the refs during Tuesday's Ind-Bos game."
11/17/2003,2003-2004,The NBA reduced Maurice Taylor's suspension from 10 games to 6 games.
11/18/2003,2003-2004,Portland suspended Bonzi Wells for 2 games and stripped him of his co-captain title. Wells cursed out coach Maurice Cheeks after being subbed out during the 3rd quarter of Monday's Por-Dal game.
11/19/2003,2003-2004,Houston activated Maurice Taylor from the suspended list and released Alton Ford.
11/24/2003,2003-2004,"Cleveland suspended Ira Newble for 1 game for a profanity laced tirade he had with coach Paul Silas following Saturday's Cle-Atl game. Although not suspended, Cleveland told Ricky Davis and Michael Stewart to stay away from the team for 2 days and the 2 (though Stewart is on IR) did not travel with the team to New Orleans."
11/28/2003,2003-2004,The NBA suspended Danny Fortson (Dal) for 3 games for his flagrant foul on Zarko Cabarkapa during Wednesday's Dal-Pho game.
11/28/2003,2003-2004,Utah suspended Greg Ostertag for 1 game for violation of team rules.
11/29/2003,2003-2004,"The NBA fined Allen Iverson (Phi) $10,000 for flipping off the crowd during Tuesday's Mil-Phi game."
12/1/2003,2003-2004,The NBA suspended Tim Duncan (SA) for 1 game for making contact with a ref during Saturday's SA-GS game.
12/5/2003,2003-2004,The NBA suspended Karl Malone (LAL) for 1 game for throwing an elbow at Steve Nash (Dal) during Thursday's Dal-LAL game.
12/5/2003,2003-2004,"The NBA fined Jason Kidd (NJ) $10,000 for verbally abusing and publicly criticizing the refs following Monday's Mem-NJ game."
12/6/2003,2003-2004,"The NBA fined Don Nelson (Dal) $7,500 for criticizing the refs. Nelson questioned how the refs would treat Danny Fortson following Fortson's flagrant foul and said that the refs still treat Eduardo Najera different as a result of Najera's inadvertent bump of a ref last season."
12/8/2003,2003-2004,Atlanta suspended Stephen Jackson for 1 game for conduct detrimental to the team.
12/10/2003,2003-2004,"The NBA fined Maurice Cheeks (Por) $7,500 verbally abusing officials and failing to leave the court in a timely manner after his ejection during Sunday's Por-Mem game."
12/16/2003,2003-2004,"The NBA fined Eddie Jordan (Was) $5,000 for criticizing the refs after Sunday's Was-NY game."
12/24/2003,2003-2004,The NBA suspended Predrag Stojakovic (Sac) for 1 game for bumping a ref during Tuesday's Mem-Sac game.
12/24/2003,2003-2004,"The NBA fined Latrell Sprewell (Min) $25,000 for his on the court antics directed at the NY owners and NY bench during Tuesday's Min-NY game."
1/5/2004,2003-2004,"The NBA fined George Lynch (NO), Jamaal Magloire (NO), and Al Harrington (Ind) $10,000 each for their altercation during Saturday's NO-Ind game."
1/5/2004,2003-2004,Miami suspended Loren Woods for 1 game for conduct detrimental to the team.
1/6/2004,2003-2004,Boston suspended Vin Baker for 3 games for failure to comply with his alcohol treatment program.
1/7/2004,2003-2004,The NBA suspended Kenyon Martin (NJ) and Corey Maggette (LAC) for 2 games each for their fight during Tuesday's NJ-LAC game.
1/9/2004,2003-2004,"The NBA fined Paul Pierce (Bos) $7,500 for throwing and kicking the ball into the stands during and after Wednesday's Bos-Orl game."
1/13/2004,2003-2004,The NBA suspended Christian Laettner (Was) for 5 games for violating the league's drug policy.
1/16/2004,2003-2004,"The NBA fined Tim Grgurich (Pho assistant) $7,500 for verbally abusing a member of the media during a Pho-Sea game on December 23."
1/16/2004,2003-2004,"The NBA fined Ruben Patterson (Por) $5,000 for throwing the basketball into the stands near the end of Tueday's Por-LAC game."
1/19/2004,2003-2004,The NBA suspended Greg Ostertag (Uta) and Zydrunas Ilgauskas (Cle) for 1 game for their fight in Saturday's Uta-Cle game.
1/23/2004,2003-2004,Boston suspended indefinitely Vin Baker for failing to comply with his aftercare program.
1/23/2004,2003-2004,"The NBA fined Tim Floyd (NO) $5,000 for kicking the ball into the stands prior to his ejected from Wednesday's Min-NO game."
1/30/2004,2003-2004,"The NBA fined Utah $15,000 for a skit that ridiculed Karl Malone and Kobe Bryant during Saturday's LAL-Uta game."
2/2/2004,2003-2004,The NBA suspended Shaquille O'Neal (LAL) for 1 game for a televised profanity laced tirade against the refs following Sunday's LAL-Tor game.
2/2/2004,2003-2004,Houston suspended Steve Francis for 1 game for missing the team flight.
2/4/2004,2003-2004,"The NBA fined Scott Skiles (Chi) $7,500 for for comments criticizing the ref following Monday's Chi-Sea game."
2/11/2004,2003-2004,The NBA suspended Kurt Thomas (NY) for 1 game for headbutting Josh Howard (Dal) during Tuesday's NY-Dal game.
2/16/2004,2003-2004,The NBA suspended Zeljko Rebraca (Det) for 1 game for throwing a punch at Brad Miller during Wednesday's Detroit-Sacramento game.
2/16/2004,2003-2004,"The NBA fined Corliss Williamson (Det) $5,000 for his flagrant foul against Brad Miller during Wednesday's Detroit-Sacramento game."
2/17/2004,2003-2004,The NBA suspended Chris Webber (Sac) for a total of 8 games. 3 games were for his guilty plea to perjury in July and 5 games were for violating the league's substance abuse policy.
2/20/2004,2003-2004,"The NBA fined Gary Payton (LAL) $15,000 and fined Speedy Claxton (GS) $7,500 for their scuffle during Wednesday's LAL-GS game."
2/20/2004,2003-2004,"The NBA fined Gary Payton (LAL) $25,000 for withdrawing from the Skills Competition for All-Star Saturday night."
2/20/2004,2003-2004,"The NBA fined Kobe Bryant (LAL) $20,000 for missing the All-Star team photo and media session."
2/21/2004,2003-2004,Toronto suspended Lamond Murray for 1 game for conduct detrimental to the team. Murray had criticized the coach.
2/22/2004,2003-2004,"The NBA fined Tracy McGrady (Orl) $10,000 for punting the ball twice into the stands during Friday's Orl-Den game."
2/22/2004,2003-2004,"The NBA fined Eddie Jordan (Was coach) $7,500 for failing to leave the court in a timely manner following the end of Friday's Was-Ind game."
2/23/2004,2003-2004,"The NBA fined Cleveland $5,000 for a skit in which the mascot made fun of former Cav Ricky Davis (Bos)."
2/23/2004,2003-2004,"The NBA fined Detroit $200,000 for using ineligible players. Recently acquired players Rasheed Wallace and Mike James played in the 1st half of Friday's Det-Min game (they didn't play in the 2nd half as the league called during halftime and told Detroit to sit them). The trade had not at that time been formally approved (ie, all the paper work was not completed)."
2/24/2004,2003-2004,"The NBA fined Jerry Stackhouse (Was) $5,000 for throwing the basketball into the stands during Sunday's Was-Mil game."
2/25/2004,2003-2004,"The NBA fined Ray Allen (Sea) $10,000 for criticizing the refs following Saturday's Sea-GS game."
2/27/2004,2003-2004,"The National Basketball Referees Association reported that ref Michael Henderson has been suspended by the NBA for 3 games for his mistake near the end of Wednesday's Den-LAL game [the league does not publish fines and suspensions for refs]. Henderson had called a 24 second violation after Denver missed a shot, but the shot had hit the rim so it wasn't a violation. The refs huddled and overruled the call and it was changed to an inadvertent whistle with a jump ball to determine which team would get possession (also controversial as it appeared Denver had the rebound at the time of the blown whistle). Denver was up by 2 at the time and the Lakers then hit a 3-pointer with 3 seconds left in the game for the win. Many of the refs wore their jersey inside out with Henderson's #62 written on the back of the jersey during Friday's games in protest of the suspension."
2/27/2004,2003-2004,"The NBA fined Cuttino Mobley (Hou) $5,000 for criticizing the refs after Tuesday's Hou-SA game."
3/1/2004,2003-2004,Philadelphia fined Allen Iverson for not attending Sunday's game. Iverson has not been playing due to an injured shoulder.
3/3/2004,2003-2004,"The NBA fined Larry Brown (Det) $7,500 for failing to leave the court in a timely manner following his ejection from Sunday's Det-LAC game."
3/6/2004,2003-2004,"The NBA fined Stan Van Gundy (Mia) $7,500 and assistant Bob McAdoo (Mia) $5,000 for verbally abusing the refs following the end of Tuesday's Mia-Tor game."
3/7/2004,2003-2004,The NBA suspended Zach Randolph (Por) for 1 game for throwing a punch at Raja Bell during Saturday's Uta-Por game.
3/11/2004,2003-2004,"The NBA fined Phil Jackson (LAL) $50,000 for his comments about the refs following Monday's LAL-Uta game. The Lakers were also fined a matching $50,000."
3/17/2004,2003-2004,"The NBA fined Mark Cuban (Dal owner) $10,000 for ""inappropriate public comments"". Cuban had told a reporter that he had said to Josh Howard (Dal) during the March 5 game at San Antonio that Cuban would pay the fine if Howard got a technical if Howard would smack the ball out of Bruce Bowen's (SA) hands and cause the ball to hit Bowen in the face."
3/18/2004,2003-2004,"The NBA fined Bonzi Wells (Mem) $5,000 for throwing the ball into the stands during Tuesday's Phi-Mem game."
3/18/2004,2003-2004,"The NBA fined Jamaal Magloire (NO) $5,000 for throwing the ball into the stands during Tuesday's NO-Mia game."
3/19/2004,2003-2004,The NBA suspended Ron Artest (Ind) for 1 game for elbowing Derek Anderson (Por) during Wednesday's Ind-Por game.
3/24/2004,2003-2004,"The NBA fined Steve Francis (Hou) $25,000 for swearing during a halftime interview during ESPN's broadcast of Sunday's Hou-Sac game."
3/29/2004,2003-2004,The NBA suspended Tyson Chandler (Chi) for 1 game for throwing a punch at Michael Bradley (Atl) during Saturday's Chi-Atl game.
3/31/2004,2003-2004,"The NBA fined Jon Barry (Den) $7,500 for yelling at the refs following Saturday's Den-Uta game."
4/6/2004,2003-2004,"The NBA fined Elton Brand (LAC) $5,000 for critizing the refs following Sunday's LAC-Uta game."
4/7/2004,2003-2004,"The NBA fined James Posey (Mem) $7,500 for kicking the ball into the stands during Monday's Mem-Uta game."
4/8/2004,2003-2004,"The NBA fined Tim Thomas (NY) $7,500 for criticizing the refs during Tuesday's Ind-NY game."
5/3/2004,2003-2004,"The NBA fined Dallas $25,000 for showing a cartoon that made fun of several Sacramento players prior to the Sal-Dal game on March 24."
5/11/2004,2003-2004,"The NBA fined Larry Brown (Det) $7,500 for criticizing the refs on Monday."
5/16/2004,2003-2004,"The NBA fined Brad Miller (Sac) $10,000 for flipping off the fans following his ejection from Friday's Sac-Min game."
5/17/2004,2003-2004,"The NBA suspended Anthony Peeler (Sac) for 2 games for throwing an elbow that hit Kevin Garnett (Min) in the chin and throwing an elbow that hit Garnett in the midsection during Sunday's Min-Sac game. If Sacramento does not advance to the Conference Finals, then the 2nd game suspension will be served the first game of the 04-05 regular season. Garnett was fined $7,500 for an elbow thrown to Peeler's chest, which occurred after Peeler's first elbow and immediately before the one to the face."
5/24/2004,2003-2004,"The NBA fined Karl Malone (LAL) $7,500 for his flagrant foul against Darrick Martin during Sunday's LAL-Min game."
5/25/2004,2003-2004,"The NBA fined Ron Artest (Ind) $10,000 for making an obscene gesture during Monday's Det-Ind game."
5/27/2004,2003-2004,"The NBA fined Reggie Miller (Ind) $5,000 for kicking the ball into the stands after Tuesday's Ind-Det game."
6/6/2004,2003-2004,"The NBA fined Gary Payton (LAL) $5,000 for skipping Sunday's mandatory media availability session."
8/27/2004,2004-2005,The NBA suspended Gilbert Arenas (Was) for 1 game. He will miss the first game of the regular season. Arenas recently pleaded no contest to misdemeanor weapons and vehicle charges for possessing a concealed weapon and driving without a license in 2003.
10/9/2004,2004-2005,"The NBA fined Mark Cuban (Dal owner) $100,000 for his comments criticizing the rules limiting the training camp practices to just one scrimmage per day, maximum of 3 hours per day, and 2-a-days to just 5 days."
10/12/2004,2004-2005,Portland suspended Qyntel Woods without pay pending a team investigation for Woods allegedly being involved in illegal dog fighting.
10/20/2004,2004-2005,The NBA suspended Eddie Griffin (Min) for the first 3 games of the season for his guilty plea this summer of a misdemeanor assault charge.
10/26/2004,2004-2005,The NBA suspended Lorenzen Wright (Mem) for 1 game for shoving Zaza Pachulia (Mil) during Thursday Mem-Mil game. Wright will serve the suspension the first game of the season.
10/27/2004,2004-2005,"The NBA suspended Brendan Haywood (Was) for 3 games, Antonio Davis (Chi) for 2 games, Eddy Curry (Chi) for 2 games, and Larry Hughes (Was) for 1 games and fined Kirk Hinrich (Chi) $10,000 for their involvement in the melee during Monday's Chi-Was game. The suspensions will start with the beginning of the regular season."
10/27/2004,2004-2005,"The NBA fined Paul Pierce (Bos) $15,000 for spitting in the direction of the Cleveland bench during Monday's Bos-Cle game."
10/29/2004,2004-2005,The NBA suspended Qyntel Woods for 5 games for violating the league's anti-drug policy.
11/7/2004,2004-2005,Portland fined Zach Randolph for missing the team flight to Toronto on Saturday.
11/9/2004,2004-2005,The NBA suspended Marcus Fizer for 1 game for his guilty plea on a gun possession charge in August.
11/14/2004,2004-2005,The NBA suspended Danny Fortson (Sea) for 1 game for throwing an elbow at the head of Chris Bosh (Tor) during Friday's Sea-Tor game. He was also assessed a flagrant foul for the thrown elbow.
11/14/2004,2004-2005,"The NBA fined Elton Brand (LAC) $7,500 for his foul on Tim Thomas (NY) during Friday's LAC-NY game. The foul was also upgraded to a flagrant foul."
11/20/2004,2004-2005,"The NBA suspended Ron Artest (Ind), Stephen Jackson (Ind), Jermaine O'Neal (Ind), and Ben Wallace (Det) indefinitely for their role in Friday's Ind-Det brawl while the league continues their investigation."
11/21/2004,2004-2005,"The NBA came down hard with the suspensions for Friday's Ind-Det brawl that involved players going into the stands and punches being exchanged between players and fans. Ron Artest (Ind) was suspended for the rest of the season (72 games). Stephen Jackson (Ind) was suspended for 30 games. Jermaine O'Neal (Ind) was suspended for 25 games. Those total suspensions are upped by 1 game as they do not include Saturday's Ind-Orl game. The Players Association has already stated that they will appeal those 3 suspensions and an arbitrator may eventually reduce the length of those suspensions. All 3 threw punches at fans and Artest and Jackson went into the stands. Anthony Johnson (Ind) was suspended 6 games - he was the player in street clothes who punched a fan on the court right after Artest and the fan had a confrontation. His suspension will not start until he is physically able to play. Ben Wallace (Det) was suspended for 6 games for his two handed shove to Artest's face during the game and for throwing a towel at Artest after the players had been separated. Elden Campbell (Det), Chauncey Billups (Det), Derrick Coleman (Det), and Reggie Miller (Ind) were suspended for 1 game for leaving the bench during the on court altercation between Wallace and Artest. Artest, Jackson, and O'Neal will be listed on a suspended list so Indiana will be able to sign players for their spots while the players are suspended (and, thus, exceed the 15 player roster maximum). Commissioner David Stern: ""The penalties issued today deal only with one aspect of this incident that of player misconduct. The actions of the players involved wildly exceeded the professionalism and self-control that should fairly be expected from NBA players. We must affirm that the NBA will strive to exemplify the best that can be offered by professional sports, and not allow our sport to be debased by what seem to be declining expectations for behavior of fans and athletes alike."" Stern: ""To watch the out-of-control fans in the stands was disgusting. It doesn't excuse our players from going into the stands."""
11/25/2004,2004-2005,Minnesota suspended Michael Olowokandi for 1 game for his early morning arrest for refusing to leave a bar after closing time.
11/26/2004,2004-2005,Minnesota suspended Michael Olowokandi for a 2nd game for his Thursday morning arrest for refusing to leave a bar after closing time.
11/30/2004,2004-2005,"The NBA fined Jamaal Magloire (NO) $7,500 for throwing the ball at Mike Dunleavy (GS) during the NO-GS game on Nov. 23."
12/6/2004,2004-2005,The NBA suspended Tony Battie (Orl) for 1 game for elbowing Pau Gasol (Mem) during Saturday's Orl-Mem game.
12/7/2004,2004-2005,The NBA suspended Elton Brand (LAC) for 1 game for shoving Emeka Okafor (Cha) during Monday's LAC-Cha game.
12/7/2004,2004-2005,The NBA suspended Latrell Sprewell (Min) for 1 game for yelling a sexual vulgarity at a female fan during Saturday's Min-LAC game.
12/9/2004,2004-2005,The NBA suspended Rodney White (Den) for 1 game for his guilty plea of unlawful possession of a weapon.
12/9/2004,2004-2005,Washington suspended Kwame Brown for refusing to join the team huddle during Wednesday's Den-Was game.
12/13/2004,2004-2005,"The NBA fined Maurice Cheeks (Por) $7,500 for failing to leave the court in a timely manner following Sunday's Por-Uta game."
12/18/2004,2004-2005,Cleveland suspended Eric Snow for 1 game for his confrontation with coach Paul Silas during Thursday's Det-Cle game.
12/23/2004,2004-2005,"The NBA fined Larry Brown (Det) $15,000 for verbally abusing a ref following Wednesday's Chi-Det game."
12/23/2004,2004-2005,The NBA suspended Caron Butler (LAL) for 1 game for punching Dan Dickau (NO) in the stomach during Wednesday's NO-LAL game.
12/25/2004,2004-2005,Indiana activated Jermaine O'Neal from the suspended list and released Marcus Haislip.
12/29/2004,2004-2005,New Orleans suspended Jim Jackson indefinitely for failing to report to the team following his trade from Houston.
12/30/2004,2004-2005,A federal judge ruled in favor of an arbitrator's reduction of Jermaine O'Neal's (Ind) suspension from 25 games to 15 games.
1/14/2005,2004-2005,"The NBA fined Carlos Boozer (Uta) $5,000 for his flagrant foul during Thursday's Uta-Sac game and upgraded it to a level 2 flagrant."
1/15/2005,2004-2005,The NBA suspended Nene (Den) and Michael Olowokandi (Min) for 4 games for their fight during Friday's Den-Min game. Marcus Camby (Den) and Francisco Elson (Den) were also suspended for 1 game for leaving the bench during the altercation.
1/16/2005,2004-2005,"The NBA fined Rafer Alston (Tor) $7,500 for verbally abusing a ref during Friday's Phi-Tor game."
1/19/2005,2004-2005,"The NBA fined Marc Jackson (Phi) $5,000 for directing an obscenity at a fan during Monday's NO-Phi game."
1/26/2005,2004-2005,Indiana activated Stephen Jackson from the suspended list.
1/28/2005,2004-2005,Portland suspended Darius Miles for 2 games for conduct detrimental to the team and insubordination.
1/29/2005,2004-2005,"The NBA fined Larry Brown (Det) $35,000 for criticizing the refs following Monday's Min-Det game."
1/30/2005,2004-2005,Toronto suspended Rafer Alston for 2 games for his conduct during practice on Saturday.
2/1/2005,2004-2005,The NBA suspended Clifford Robinson (GS) for 5 games for violating the league's anti-drug policy.
2/3/2005,2004-2005,The NBA suspended Stephen Jackson (Ind) for 1 game for verbally abusing the refs at the end of Wednesday's Tor-Ind game.
2/10/2005,2004-2005,"The NBA suspended Brad Miller (Sac) for 1 game for berating the refs and throwing his headband and wristbands into the stands following Tuesday's Sac-Pho game. Mike Bibby (Sac) was fined $15,000 for berating the refs and failing to leave the court in a timely manner after the game. Cuttino Mobley (Sac) was fined $15,000 for comments he made about the refs following the game. Chris Webber (Sac) was fined $10,000 for kicking the ball into the stands after the game ended. [Amare Stoudemire (Pho) blocked a shot by Miller as time expired that would have tied the game and it looked like it might have been goaltending, but no call was made.]"
2/10/2005,2004-2005,"The NBA fined Kendrick Perkins (Bos) $10,000 for his flagrant foul against Desmond Mason (Mil) during Tuesday's Bos-Mil game."
2/11/2005,2004-2005,"The NBA suspended Danny Fortson (Sea) for 2 games for yelling at a ref, throwing a chair, and failing to leave the court in a timely manner following his ejection from Thursday's Sea-Sac game."
2/15/2005,2004-2005,"The NBA fined Cuttino Mobley (Sac) $10,000 for abuse of the refs and failing to leave the court in a timely manner following the end of Friday's Dal-Sac game."
3/1/2005,2004-2005,"The NBA fined Gilbert Arenas $7,500 for criticizing the refs following Sunday's Was-Sac game."
3/2/2005,2004-2005,"The NBA fined Tyson Chandler (Chi) $10,000 for directing an obscene gesture towards a ref during Monday's Hou-Chi game."
3/2/2005,2004-2005,The NBA suspended Tyronn Lue (Atl) for 1 game for throwing a punch at Eduardo Najera (Den) during Tuesday's Atl-Den game.
3/15/2005,2004-2005,The NBA suspended Stacey Augmon (Orl) for 1 game for cursing and throwing a bottle of lotion at a reporter after Sunday's Orl-NJ game.
3/15/2005,2004-2005,"The NBA fined DeShawn Stevenson (Orl) $7,500 for kicking the ball into the stands during Sunday's Orl-NJ game."
3/17/2005,2004-2005,"Cleveland fined coach Paul Silas $10,000 for derogatory comments he made about Carlos Boozer (Uta)."
3/19/2005,2004-2005,The NBA suspended indefinitely Steve Francis (Orl) for kicking a courtside photographer during Friday's Orl-Sea game.
3/21/2005,2004-2005,"The NBA suspended Steve Francis (Orl) for 2 more games, for a total of 3 games, for kicking a photographer during Friday's Orl-Sea game."
3/22/2005,2004-2005,"The NBA fined Allen Iverson (Phi) $10,000 for his verbal confrontation with a ref following Saturday's Phi-Chi game."
3/27/2005,2004-2005,Seattle suspended Danny Fortson for 1 game for refusing to enter the game during Friday's Sea-NY game.
4/9/2005,2004-2005,The NBA suspended Corliss Williamson (Sac) for 1 game for hitting Joel Przybilla (Por) in the head during Friday's Por-Sac game.
4/11/2005,2004-2005,The NBA suspended Jerry Stackhouse (Dal) and Kirk Snyder (Uta) for 1 game for their postgame fight following Saturday's Dal-Uta game.
4/12/2005,2004-2005,The NBA suspended Andres Nocioni (Chi) for elbowing Tayshaun Prince (Det) during Monday's Chi-Det game.
4/12/2005,2004-2005,"The NBA fined Kenyon Martin (Den) $7,500 for verbally abusing the refs and failing to leave the court in a timely manner following his ejection during Monday's Den-GS game."
4/18/2005,2004-2005,The NBA suspended Vlade Divac (LAL) for 2 games for his intentionally thrown elbow that connected with Shawn Bradley's (Dal) chin during Sunday's Dal-LAL game.
4/18/2005,2004-2005,The NBA suspended Anthony Johnson (Ind) for 1 game for throwing a punch at Alonzo Mourning (Mia) during Sunday's Ind-Mia game.
4/25/2005,2004-2005,"The NBA fined Cuttino Mobley (Sac) $15,000 for making an obscene gesture towards fans at the end of Saturday's Sea-Sac game."
4/25/2005,2004-2005,"The NBA fined Avery Johnson (Dal) $10,000 for failing to leave the court in a timely manner following Saturday's Dal-Hou game."
4/29/2005,2004-2005,"The NBA suspended Antoine Walker (Bos) for 1 game for contact with a ref following his scuffle with Jermaine O'Neal (Ind) during Thursday's Bos-Ind game. O'Neal was fined $10,000 for his role in the scuffle."
5/2/2005,2004-2005,"The NBA fined Jeff Van Gundy (Hou) $100,000 for comments he made to the press stating that he believed that the officiating was targeting Yao Ming. It is a record fine handed to an NBA coach, doubling the old record."
5/2/2005,2004-2005,"The NBA fined Carmelo Anthony (Den) $7,500 for his flagrant foul on Manu Ginobili (SA) during Saturday's Den-SA game."
5/3/2005,2004-2005,Washington suspended Kwame Brown for the rest of the playoffs.
5/4/2005,2004-2005,"The NBA fined Jason Williams (Mem) $10,000 for improper conduct towards the media after Sunday's Mem-Pho game. Williams repeated took the pen from a writer during the post-game interviews."
6/3/2005,2004-2005,"The NBA fined Denver $200,000 and suspended head coach George Karl for the first 3 games of 2005-06 for violating the rules prohibiting contact between NBA teams and players not yet eligible for the NBA draft. Karl attended workouts at Marquette University that included his son, Coby."
6/3/2005,2004-2005,"The NBA fined Rasheed Wallace (Det) $20,000 for public criticism of the refs after Tuesday's Det-Mia game and using inappropriate language when speaking to the media."
8/30/2005,2005-2006,"The NBA fined Minnesota $200,000 for holding a voluntary 2 day mini-camp last week."
10/25/2005,2005-2006,"The NBA reduced George Karl's 3 game suspension to 2 games, thus he will miss the first 2 games of the regular season. The suspension occured as a result of Karl attending workouts at Marquette University in May that included his son - the league has rules against contact between NBA teams and players not yet eligible for the NBA draft."
10/27/2005,2005-2006,The NBA suspended Robert Whaley (Uta) for 2 games for throwing a punch at Adam Prada (LAL) during Tuesday's Uta-LAL games.
11/11/2005,2005-2006,"The NBA fined Mike Montgomery (GS) $25,000 and Jason Richardson (GS) $20,000 for failing to leave the court in a timely manner and verbally abusing the refs following Wednesday's GS-Chi game. 11/9/05"
11/14/2005,2005-2006,"The NBA fined Sacramento $30,000 for showing a derogatory video of Detroit on the jumbotron while the Pistons were introduced during the November 8 Det-Sac game."
11/30/2005,2005-2006,The NBA suspended George Karl (Den) for 2 games for criticizing the refs following Monday's Den-NJ game.
12/1/2005,2005-2006,Denver suspended Voshon Lenard for 1 game for conduct detrimental to the team.
12/4/2005,2005-2006,"The NBA fined Doc Rivers (Bos) $10,000 for failing to leave the court in a timely manner following his ejection from Friday's Bos-Chi game."
12/6/2005,2005-2006,"The NBA has fined 13 players $10,000 for wearing their shorts too long. The league has a rule requiring shorts to be at least 1 inch above the knee. The fined players are Nate Robinson (NY), Stephon Marbury (NY), John Salmons (Phi), Kyle Korver (Phi), Allen Iverson (Phi), Kevin Ollie (Phi), Jermaine O'Neal (Ind), Stephen Jackson (Ind), Jamaal Tinsley (Ind), Jeff McInnis (NJ), Voshon Lenard (Den), DerMarr Johnson (Den), and Andre Miller (Den). The Players Association is appealing the fines. In addition, the player's team was fined $50,000 for each violation."
12/6/2005,2005-2006,The NBA suspended Josh Smith (Atl) for 2 games for elbowing Raja Bell (Pho) during Sunday's Atl-Pho game.
