Player,Wikipedia_Player_URL,Position_ID,Position,Last_Name,First_Name,Height,Height (inches),Height (meters),Weight (lbs),Weight (kg),DOB,From,TeamCode,Jersey
Marcin Gortat,http://en.wikipedia.org/wiki/Marcin_Gortat,6,C,Gortat,Marcin,6'11'',83,2.11,240,109,2/17/1984,Poland,PHO,4
Wesley Johnson,http://en.wikipedia.org/wiki/Wesley_Johnson,2.5,G/F,Johnson,Wesley,6'7'',79,2.01,215,98,7/11/1987,Syracuse,PHO,2
Kendall Marshall,http://en.wikipedia.org/wiki/Kendall_Marshall,1.5,G,Marshall,Kendall,6'4'',76,1.93,195,88,8/19/1991,North Carolina,PHO,12
Markieff Morris,http://en.wikipedia.org/wiki/Markieff_Morris,4,F,Morris,Markieff,6'10'',82,2.08,245,111,9/2/1989,Kansas,PHO,11
Jermaine O'Neal,http://en.wikipedia.org/wiki/Jermaine_O%27Neal,4.5,PF,O'Neal,Jermaine,6'11,83,2.11,255,116,10/13/1978,Eau Claire HS,PHO,20
Luis Scola,http://en.wikipedia.org/wiki/Luis_Scola,4,F,Scola,Luis,6'9'',81,2.06,245,111,4/30/1980,Argentina,PHO,14
Sebastian Telfair,http://en.wikipedia.org/wiki/Sebastian_Telfair,1.5,G,Telfair,Sebastian,6'0'',72,1.83,175,79,6/9/1985,Abraham Lincoln HS (NY),PHO,31
P. J. Tucker,http://en.wikipedia.org/wiki/P. J._Tucker,4,F,Tucker,P. J.,6'6'',78,1.98,225,102,5/5/1985,Texas,PHO,17
Luke Zeller,http://en.wikipedia.org/wiki/Luke_Zeller,5.5,PF/C,Zeller,Luke,6'11'',83,2.11,245,111,4/7/1987,Notre Dame,PHO,40
LaMarcus Aldridge,http://en.wikipedia.org/wiki/LaMarcus_Aldridge,5.5,F/C,Aldridge,LaMarcus,6'11'',83,2.11,240,109,7/19/1985,Texas,POR,12
Luke Babbitt,http://en.wikipedia.org/wiki/Luke_Babbitt,4,F,Babbitt,Luke,6'9'',81,2.06,225,102,1/6/1991,Nevada,POR,8
Will Barton,http://en.wikipedia.org/wiki/Will_Barton,2.5,G/F,Barton,Will,6'6'',78,1.98,175,79,9/4/1988,Memphis,POR,5
Nicolas Batum,http://en.wikipedia.org/wiki/Nicolas_Batum,2.5,G/F,Batum,Nicolas,6'8'',80,2.03,200,91,12/14/1988,France,POR,88
Víctor Claver,http://en.wikipedia.org/wiki/Víctor_Claver,4,F,Claver,Víctor,6'10'',82,2.08,236,107,8/30/1988,Spain,POR,18
Joel Freeland,http://en.wikipedia.org/wiki/Joel_Freeland,5.5,F/C,Freeland,Joel,6'10'',82,2.08,250,113,2/7/1987,England,POR,19
J. J. Hickson,http://en.wikipedia.org/wiki/J. J._Hickson,4,F,Hickson,J. J.,6'9'',81,2.06,242,110,9/4/1988,North Carolina State,POR,21
Jared Jeffries,http://en.wikipedia.org/wiki/Jared_Jeffries,5.5,F/C,Jeffries,Jared,6'11'',83,2.11,240,109,11/25/1981,Indiana,POR,24
Meyers Leonard,http://en.wikipedia.org/wiki/Meyers_Leonard,6,C,Leonard,Meyers,7'1'',85,2.16,245,111,2/27/1992,Illinois,POR,11
Damian Lillard,http://en.wikipedia.org/wiki/Damian_Lillard,1.5,G,Lillard,Damian,6'3'',75,1.91,195,88,7/15/1990,Weber State,POR,0
Wesley Matthews,http://en.wikipedia.org/wiki/Wesley_Matthews,1.5,G,Matthews,Wesley,6'5'',77,1.96,220,100,10/14/1986,Marquette,POR,2
Sasha Pavlovic,http://en.wikipedia.org/wiki/Sasha_Pavlovic,2.5,G/F,Pavlovic,Sasha,6'7'',79,2.01,235,107,11/15/1983,Yugoslavia,POR,3
Ronnie Price,http://en.wikipedia.org/wiki/Ronnie_Price,1.5,G,Price,Ronnie,6'2'',74,1.88,190,86,6/21/1983,Utah Valley,POR,1
Nolan Smith,http://en.wikipedia.org/wiki/Nolan_Smith,1.5,G,Smith,Nolan,6'2'',74,1.88,185,84,7/25/1988,Duke,POR,4
Elliot Williams,http://en.wikipedia.org/wiki/Elliot_Williams,1.5,G,Williams,Elliot,6'5'',77,1.96,180,82,6/20/1989,Memphis,POR,9
Aaron Brooks,http://en.wikipedia.org/wiki/Aaron_Brooks,1.5,G,Brooks,Aaron,6'0'',72,1.83,161,73,1/14/1985,Oregon,SAC,3
DeMarcus Cousins,http://en.wikipedia.org/wiki/DeMarcus_Cousins,6,C,Cousins,DeMarcus,6'11'',83,2.11,270,122,8/13/1990,Kentucky,SAC,15
Tyreke Evans,http://en.wikipedia.org/wiki/Tyreke_Evans,1.5,G,Evans,Tyreke,6'6'',78,1.98,220,100,9/19/1989,Memphis,SAC,13
Jimmer Fredette,http://en.wikipedia.org/wiki/Jimmer_Fredette,1.5,G,Fredette,Jimmer,6'2'',74,1.88,195,88,2/25/1989,Brigham Young,SAC,7
Francisco García,http://en.wikipedia.org/wiki/Francisco_García,2.5,G/F,García,Francisco,6'7'',79,2.01,195,88,12/31/1980,Louisville,SAC,32
Chuck Hayes,http://en.wikipedia.org/wiki/Chuck_Hayes,5.5,F/C,Hayes,Chuck,6'6'',78,1.98,250,113,6/11/1983,Kentucky,SAC,42
Tyler Honeycutt,http://en.wikipedia.org/wiki/Tyler_Honeycutt,4,F,Honeycutt,Tyler,6'8'',80,2.03,188,85,7/15/1990,UCLA,SAC,9
James Johnson,http://en.wikipedia.org/wiki/James_Johnson,4,F,Johnson,James,6'9'',81,2.06,245,111,2/20/1987,Wake Forest,SAC,52
Travis Outlaw,http://en.wikipedia.org/wiki/Travis_Outlaw,4,F,Outlaw,Travis,6'9'',81,2.06,207,94,9/18/1984,Starkville HS (MS),SAC,25
Thomas Robinson,http://en.wikipedia.org/wiki/Thomas_Robinson,4,F,Robinson,Thomas,6'9'',81,2.06,244,111,3/18/1991,Kansas,SAC,0
John Salmons,http://en.wikipedia.org/wiki/John_Salmons,2.5,G/F,Salmons,John,6'6'',78,1.98,207,94,12/12/1979,Miami (FL),SAC,5
Isaiah Thomas,http://en.wikipedia.org/wiki/Isaiah_Thomas,1.5,G,Thomas,Isaiah,5'9'',69,1.75,185,84,2/7/1989,Washington,SAC,22
Jason Thompson,http://en.wikipedia.org/wiki/Jason_Thompson,4,F,Thompson,Jason,6'11'',83,2.11,250,113,7/21/1986,Rider,SAC,34
Marcus Thornton,http://en.wikipedia.org/wiki/Marcus_Thornton,1.5,G,Thornton,Marcus,6'4'',76,1.93,205,93,6/5/1987,LSU,SAC,23
James Anderson,http://en.wikipedia.org/wiki/James_Anderson,1.5,G,Anderson,James,6'6'',78,1.98,215,98,3/25/1989,Oklahoma State,SAS,25
DeJuan Blair,http://en.wikipedia.org/wiki/DeJuan_Blair,6,C,Blair,DeJuan,6'7'',79,2.01,270,122,4/22/1989,Pittsburgh,SAS,45
Matt Bonner,http://en.wikipedia.org/wiki/Matt_Bonner,5.5,F/C,Bonner,Matt,6'10'',82,2.08,235,107,4/5/1980,Florida,SAS,15
Derrick Byars,http://en.wikipedia.org/wiki/Derrick_Byars,2.5,G/F,Byars,Derrick,6'7'',79,2.01,220,100,4/25/1984,Vanderbilt,SAS,34
Nando De Colo,http://en.wikipedia.org/wiki/Nando_De Colo,1.5,G,De Colo,Nando,6'5'',77,1.96,200,91,6/23/1987,France,SAS,33
Boris Diaw,http://en.wikipedia.org/wiki/Boris_Diaw,5.5,F/C,Diaw,Boris,6'8'',80,2.03,235,107,4/16/1982,France,SAS,33
Tim Duncan,http://en.wikipedia.org/wiki/Tim_Duncan,4,F,Duncan,Tim,6'11'',83,2.11,255,116,4/25/1976,Wake Forest,SAS,21
Manu Ginóbili,http://en.wikipedia.org/wiki/Manu_Ginóbili,1.5,G,Ginóbili,Manu,6'6'',78,1.98,205,93,7/28/1977,Argentina,SAS,20
Danny Green,http://en.wikipedia.org/wiki/Danny_Green,2.5,G/F,Green,Danny,6'6'',78,1.98,210,95,6/22/1987,North Carolina,SAS,4
Stephen Jackson,http://en.wikipedia.org/wiki/Stephen_Jackson,2.5,G/F,Jackson,Stephen,6'8'',80,2.03,220,100,4/5/1978,Oak Hill Academy (HS),SAS,3
Cory Joseph,http://en.wikipedia.org/wiki/Cory_Joseph,1.5,G,Joseph,Cory,6'3'',75,1.91,185,84,8/20/1991,Texas,SAS,5
Kawhi Leonard,http://en.wikipedia.org/wiki/Kawhi_Leonard,2.5,G/F,Leonard,Kawhi,6'7'',79,2.01,225,102,6/29/1991,San Diego State,SAS,2
Patrick Mills,http://en.wikipedia.org/wiki/Patrick_Mills,1.5,G,Mills,Patrick,6'0'',72,1.83,185,84,8/11/1988,Saint Mary's,SAS,8
Gary Neal,http://en.wikipedia.org/wiki/Gary_Neal,1.5,G,Neal,Gary,6'4'',76,1.93,210,95,10/3/1984,Towson,SAS,14
Tony Parker,http://en.wikipedia.org/wiki/Tony_Parker,1.5,G,Parker,Tony,6'2'',74,1.88,185,84,5/17/1982,France,SAS,9
Tiago Splitter,http://en.wikipedia.org/wiki/Tiago_Splitter,5.5,F/C,Splitter,Tiago,6'11'',83,2.11,240,109,1/1/1985,Brazil,SAS,22
Quincy Acy,http://en.wikipedia.org/wiki/Quincy_Acy,4,F,Acy,Quincy,6'7'',79,2.01,225,102,10/6/1990,Baylor,TOR,4
Alan Anderson,http://en.wikipedia.org/wiki/Alan_Anderson,2.5,G/F,Anderson,Alan,6'6'',78,1.98,220,100,10/16/1982,Michigan State,TOR,6
Andrea Bargnani,http://en.wikipedia.org/wiki/Andrea_Bargnani,5.5,F/C,Bargnani,Andrea,7'0'',84,2.13,250,113,10/26/1985,Italy,TOR,7
José Calderón,http://en.wikipedia.org/wiki/José_Calderón,1.5,G,Calderón,José,6'3'',75,1.91,210,95,9/28/1981,Spain,TOR,8
Ed Davis,http://en.wikipedia.org/wiki/Ed_Davis,4,F,Davis,Ed,6'10'',82,2.08,215,98,6/5/1989,North Carolina,TOR,32
DeMar DeRozan,http://en.wikipedia.org/wiki/DeMar_DeRozan,2.5,G/F,DeRozan,DeMar,6'7'',79,2.01,220,100,8/7/1989,Southern California,TOR,10
Landry Fields,http://en.wikipedia.org/wiki/Landry_Fields,2.5,G/F,Fields,Landry,6'7'',79,2.01,215,98,6/27/1988,Stanford,TOR,9
Aaron Gray,http://en.wikipedia.org/wiki/Aaron_Gray,6,C,Gray,Aaron,7'0'',84,2.13,270,122,12/7/1984,Pittsburgh,TOR,34
Amir Johnson,http://en.wikipedia.org/wiki/Amir_Johnson,5.5,F/C,Johnson,Amir,6'9'',81,2.06,210,95,5/1/1987,Westchester HS (CA),TOR,15
Linas Kleiza,http://en.wikipedia.org/wiki/Linas_Kleiza,4,F,Kleiza,Linas,6'8'',80,2.03,234,106,1/3/1985,Missouri,TOR,11
Kyle Lowry,http://en.wikipedia.org/wiki/Kyle_Lowry,1.5,G,Lowry,Kyle,6'0'',72,1.83,205,93,3/25/1986,Villanova,TOR,3
John Lucas,http://en.wikipedia.org/wiki/John_Lucas,1.5,G,Lucas,John,5'11'',71,1.8,165,75,11/21/1982,Oklahoma State,TOR,5
Dominic McGuire,http://en.wikipedia.org/wiki/Dominic_McGuire,3.5,SF/PF,McGuire,Dominic,6'9,81,2.06,235,107,10/20/1985,Fresno State,TOR,5
Terrence Ross,http://en.wikipedia.org/wiki/Terrence_Ross,1.5,G,Ross,Terrence,6'6'',78,1.98,195,88,2/5/1991,Washington,TOR,31
Jonas Valanciunas,http://en.wikipedia.org/wiki/Jonas_Valanciunas,6,C,Valanciunas,Jonas,6'11'',83,2.11,231,105,6/5/1992,Lithuania,TOR,17
Alec Burks,http://en.wikipedia.org/wiki/Alec_Burks,1.5,G,Burks,Alec,6'6'',78,1.98,202,92,7/20/1991,Colorado,UTA,10
DeMarre Carroll,http://en.wikipedia.org/wiki/DeMarre_Carroll,4,F,Carroll,DeMarre,6'8'',80,2.03,212,96,7/27/1986,Missouri,UTA,3
Jeremy Evans,http://en.wikipedia.org/wiki/Jeremy_Evans,4,F,Evans,Jeremy,6'9'',81,2.06,194,88,10/24/1987,Western Kentucky,UTA,40
Derrick Favors,http://en.wikipedia.org/wiki/Derrick_Favors,5.5,F/C,Favors,Derrick,6'10'',82,2.08,248,112,7/15/1991,Georgia Tech,UTA,15
Randy Foye,http://en.wikipedia.org/wiki/Randy_Foye,1.5,G,Foye,Randy,6'4'',76,1.93,213,97,9/24/1983,Villanova,UTA,21
Gordon Hayward,http://en.wikipedia.org/wiki/Gordon_Hayward,4,F,Hayward,Gordon,6'8'',80,2.03,210,95,3/23/1990,Butler,UTA,20
Al Jefferson,http://en.wikipedia.org/wiki/Al_Jefferson,6,C,Jefferson,Al,6'10'',82,2.08,289,131,1/4/1985,Prentiss HS (MS),UTA,25
Enes Kanter,http://en.wikipedia.org/wiki/Enes_Kanter,6,C,Kanter,Enes,6'11'',83,2.11,267,121,5/20/1992,Turkey,UTA,0
Paul Millsap,http://en.wikipedia.org/wiki/Paul_Millsap,4,F,Millsap,Paul,6'8'',80,2.03,253,115,2/10/1985,Louisiana Tech,UTA,24
Kevin Murphy,http://en.wikipedia.org/wiki/Kevin_Murphy,1.5,G,Murphy,Kevin,6'6'',78,1.98,195,88,3/6/1990,Tennessee Tech,UTA,55
Jamaal Tinsley,http://en.wikipedia.org/wiki/Jamaal_Tinsley,1.5,G,Tinsley,Jamaal,6'3'',75,1.91,197,89,2/28/1978,Iowa State,UTA,6
Earl Watson,http://en.wikipedia.org/wiki/Earl_Watson,1.5,G,Watson,Earl,6'1'',73,1.85,199,90,6/12/1979,UCLA,UTA,11
Marvin Williams,http://en.wikipedia.org/wiki/Marvin_Williams,4,F,Williams,Marvin,6'9'',81,2.06,245,111,6/19/1986,North Carolina,UTA,2
Mo Williams,http://en.wikipedia.org/wiki/Mo_Williams,1.5,G,Williams,Mo,6'1'',73,1.85,195,88,12/19/1982,Alabama,UTA,16
A.J. Price,http://en.wikipedia.org/wiki/A.J._Price,,,A.J.,Price,6'2'',74,1.88,185,84,10/7/1986,Connecticut,WAS,12
Trevor Ariza,http://en.wikipedia.org/wiki/Trevor_Ariza,4,F,Ariza,Trevor,6'8'',80,2.03,210,95,6/30/1985,UCLA,WAS,1
Earl Barron,http://en.wikipedia.org/wiki/Earl_Barron,5,C,Barron,Earl,7'0,84,2.13,250,113,8/14/1981,Memphis,WAS,30
Bradley Beal,http://en.wikipedia.org/wiki/Bradley_Beal,1.5,G,Beal,Bradley,6'5'',77,1.96,207,94,6/28/1993,Florida,WAS,3
Trevor Booker,http://en.wikipedia.org/wiki/Trevor_Booker,4,F,Booker,Trevor,6'8'',80,2.03,240,109,11/25/1987,Clemson,WAS,35
Jordan Crawford,http://en.wikipedia.org/wiki/Jordan_Crawford,1.5,G,Crawford,Jordan,6'4'',76,1.93,195,88,10/23/1988,Xavier,WAS,15
Jannero_Pargo,http://en.wikipedia.org/wiki/Jannero_Pargo,,,Jannero,Pargo,6'1'',73,1.85,185,84,10/22/1979,Arkansas,WAS,7
Cartier Martin,http://en.wikipedia.org/wiki/Cartier_Martin,2.5,G/F,Martin,Cartier,6'7'',79,2.01,220,100,11/20/1984,Kansas State,WAS,20
Nenê,http://en.wikipedia.org/wiki/_Nenê,6,C,Nenê,,6'11'',83,2.11,250,113,9/13/1982,Brazil,WAS,42
Emeka Okafor,http://en.wikipedia.org/wiki/Emeka_Okafor,6,C,Okafor,Emeka,6'10'',82,2.08,255,116,9/28/1982,Connecticut,WAS,50
Kevin Seraphin,http://en.wikipedia.org/wiki/Kevin_Seraphin,5.5,F/C,Seraphin,Kevin,6'9'',81,2.06,275,125,12/7/1989,France,WAS,13
Chris Singleton,http://en.wikipedia.org/wiki/Chris_Singleton,4,F,Singleton,Chris,6'8'',80,2.03,230,104,11/21/1989,Florida State,WAS,31
Jan Veselý,http://en.wikipedia.org/wiki/Jan_Veselý,4,F,Veselý,Jan,6'11'',83,2.11,240,109,4/24/1990,Czech Republic,WAS,24
John Wall,http://en.wikipedia.org/wiki/John_Wall,1.5,G,Wall,John,6'4'',76,1.93,195,88,9/6/1990,Kentucky,WAS,2
Martell Webster,http://en.wikipedia.org/wiki/Martell_Webster,2.5,G/F,Webster,Martell,6'7,79,2.01,230,104,12/4/1986,Seattle Preparatory School HS,WAS,5
Kelenna Azubuike,http://en.wikipedia.org/wiki/Kelenna_Azubuike,1.5,G,Azubuike,Kelenna,6'5'',77,1.96,215,98,12/16/1983,Kentucky,,
Oscar Bellfield,http://en.wikipedia.org/wiki/Oscar_Bellfield,1,PG,Bellfield,Oscar,6'2,74,1.88,190,86,1/11/1990,UNLV,,0
Jon Brockman,http://en.wikipedia.org/wiki/Jon_Brockman,4,F,Brockman,Jon,6'7'',79,2.01,255,116,3/20/1987,Washington,,
Keyon Dooling,http://en.wikipedia.org/wiki/Keyon_Dooling,1.5,G,Dooling,Keyon,6'3'',75,1.91,195,88,5/8/1980,Missouri,,51
Ronald Dupree,http://en.wikipedia.org/wiki/Ronald_Dupree,3,SF,Dupree,Ronald,6'7,79,2.01,210,95,1/26/1981,LSU,,
Jerome Dyson,http://en.wikipedia.org/wiki/Jerome_Dyson,1.5,G,Dyson,Jerome,6'3'',75,1.91,180,82,5/1/1987,Connecticut,,
Christian Eyenga,http://en.wikipedia.org/wiki/Christian_Eyenga,2.5,G/F,Eyenga,Christian,6'7'',79,2.01,210,95,6/22/1989,DR Congo,,88
Gary Forbes,http://en.wikipedia.org/wiki/Gary_Forbes,3,SF,Forbes,Gary,6'7'',79,2.01,220,100,2/25/1985,Massachusetts,,
Andrew Goudelock,http://en.wikipedia.org/wiki/Andrew_Goudelock,1.5,G,Goudelock,Andrew,6'3'',75,1.91,200,91,7/12/1988,College of Charleston,,0
Donté Greene,http://en.wikipedia.org/wiki/Dont%C3%A9_Greene,3,F,Greene,Donté,6'11,83,2.11,226,103,2/21/2008,Syracuse,,20
Justin Hamilton,http://en.wikipedia.org/wiki/Justin_Hamilton,6,C,Hamilton,Justin,7'0'',84,2.13,260,118,4/1/1990,LSU,,
Justin Harper,http://en.wikipedia.org/wiki/Justin_Harper,5.5,F/C,Harper,Justin,6'10'',82,2.08,225,102,8/30/1989,Richmond,,32
Lazar Hayward,http://en.wikipedia.org/wiki/Lazar_Hayward,4,F,Hayward,Lazar,6'6'',78,1.98,225,102,11/26/1986,Marquette,,11
Robbie Hummel,http://en.wikipedia.org/wiki/Robbie_Hummel,2.5,G/F,Hummel,Robbie,6'8'',80,2.03,215,98,3/8/1989,Purdue,,6
Damion James,http://en.wikipedia.org/wiki/Damion_James,3,SF,James,Damion,6'7,79,2.01,225,102,10/7/1989,Texas,,10
JaJuan Johnson,http://en.wikipedia.org/wiki/JaJuan_Johnson,4,F,Johnson,JaJuan,6'10'',82,2.08,221,100,2/8/1989,Purdue,,
Darius Johnson-Odom,http://en.wikipedia.org/wiki/Darius_Johnson-Odom,2,SG,Johnson-Odom,Darius,6'2'',74,1.88,200,91,9/28/1989,Marquette,,7
Kevin Jones,http://en.wikipedia.org/wiki/Kevin_Jones_(basketball),3,SF,Jones,Kevin,6'8,80,2.03,260,118,8/28/1989,West Virginia,,5
D.J. Kennedy,http://en.wikipedia.org/wiki/D.J._Kennedy,2.5,G/F,Kennedy,D.J.,6'5'',77,1.96,214,97,5/11/1989,St. John's,,
Ognjen Kuzmic,http://en.wikipedia.org/wiki/Ognjen_Kuzmic,6,C,Kuzmic,Ognjen,7'1'',85,2.16,231,105,5/16/1990,Bosnia and Herzegovina,,
Shaun Livingston,http://en.wikipedia.org/wiki/Shaun_Livingston,1.5,G,Livingston,Shaun,6'7'',79,2.01,175,79,9/11/1985,Peoria Central HS,,
Shelvin Mack,http://en.wikipedia.org/wiki/Shelvin_Mack,1.5,G,Mack,Shelvin,6'3'',75,1.91,207,94,4/22/1990,Butler,,22
Reeves Nelson,http://en.wikipedia.org/wiki/Reeves_Nelson,3,SF,Nelson,Reeves,6'8,80,2.03,235,107,9/18/1991,UCLA,,22
Shavlik Randolph,http://en.wikipedia.org/wiki/Shavlik_Randolph,4,PF,Randolph,Shavlik,6'10,82,2.08,240,109,11/24/1983,Duke,,
Andy Rautins,http://en.wikipedia.org/wiki/Andy_Rautins,2,SG,Rautins,Andy,6'4,76,1.93,190,86,11/2/2006,Syracuse,,
Quentin Richardson,http://en.wikipedia.org/wiki/Quentin_Richardson,4,F,Richardson,Quentin,6'6'',78,1.98,228,103,4/13/1980,DePaul,,5
Tomas Satoransky,http://en.wikipedia.org/wiki/Tomas_Satoransky,1.5,G,Satoransky,Tomas,6'7'',79,2.01,210,95,10/30/1991,Czech Republic,,14
John Shurna,http://en.wikipedia.org/wiki/John_Shurna,3,SF,Shurna,John,6'9,81,2.06,215,98,4/30/1990,Northwestern,,24
Henry Sims,http://en.wikipedia.org/wiki/Henry_Sims_(basketball),5,C,Sims,Henry,6'10,82,2.08,245,111,3/27/1990,Georgetown,,22
Chris Smith,http://en.wikipedia.org/wiki/Chris_Smith,1.5,G,Smith,Chris,6'2'',74,1.88,195,88,10/13/1987,Louisville,,
Greg Somogyi,http://en.wikipedia.org/wiki/Greg_Somogyi,5,C,Somogyi,Greg,7'3,87,2.21,242,110,10/1/1989,UCSB,,55
Garrett Temple,http://en.wikipedia.org/wiki/Garrett_Temple,2,SG,Temple,Garret,6'6,78,1.98,195,88,5/8/1986,LSU,,
Hollis Thompson,http://en.wikipedia.org/wiki/Hollis_Thompson,4,F,Thompson,Hollis,6'8'',80,2.03,212,96,4/3/1991,Georgetown,,21
Mychel Thompson,http://en.wikipedia.org/wiki/Mychel_Thompson,2.5,SG/SF,Thompson,Mychel,6'6,78,1.98,211,96,6/1/1988,Pepperdine,,21
Izzet Türkyilmaz,http://en.wikipedia.org/wiki/Izzet_Türkyilmaz,5.5,F/C,Türkyilmaz,Izzet,7'0'',84,2.13,211,96,5/20/1990,Turkey,,
Delonte West,http://en.wikipedia.org/wiki/Delonte_West,1.5,G,West,Delonte,6'3'',75,1.91,180,82,7/26/1983,Saint Joseph's,,13
Sean Williams,http://en.wikipedia.org/wiki/Sean_Williams,5.5,F/C,Williams,Sean,6'10'',82,2.08,235,107,9/13/1986,Boston College,,
Jordan Williams,http://en.wikipedia.org/wiki/Jordan_Williams,5.5,F/C,Williams,Jordan,6'10'',82,2.08,260,118,10/11/1990,Maryland,,
